# A-025: every two-cell configuration that can make MDC non-manifold
case_a,case_b,cycles_a,cycles_b,offending,unavoidable
106,118,2,1,1,0
106,134,2,3,1,0
106,150,2,4,1,0
106,166,2,2,1,0
106,182,2,2,1,0
106,198,2,2,1,0
106,214,2,2,1,0
106,230,2,1,1,0
106,246,2,1,1,0
107,6,2,2,1,0
107,22,2,3,1,0
107,38,2,2,1,0
107,54,2,2,1,0
107,70,2,2,1,0
107,86,2,2,1,0
107,102,2,2,1,0
107,118,2,1,1,0
107,134,2,3,1,0
107,150,2,4,1,0
107,166,2,2,1,0
107,182,2,2,1,0
107,198,2,2,1,0
107,214,2,2,1,0
107,230,2,1,1,0
107,246,2,1,1,0
108,6,2,2,1,0
108,22,2,3,1,0
108,38,2,2,1,0
108,54,2,2,1,0
108,70,2,2,1,0
108,86,2,2,1,0
108,102,2,2,1,0
108,118,2,1,1,0
108,134,2,3,1,0
108,150,2,4,1,0
108,166,2,2,1,0
108,182,2,2,1,0
108,198,2,2,1,0
108,214,2,2,1,0
108,230,2,1,1,0
108,246,2,1,1,0
109,6,2,2,1,0
109,22,2,3,1,0
109,38,2,2,1,0
109,54,2,2,1,0
109,70,2,2,1,0
109,86,2,2,1,0
109,102,2,2,1,0
109,118,2,1,1,0
109,134,2,3,1,0
109,150,2,4,1,0
109,166,2,2,1,0
109,182,2,2,1,0
109,198,2,2,1,0
109,214,2,2,1,0
109,230,2,1,1,0
109,246,2,1,1,0
110,6,1,2,0,0
110,22,1,3,1,0
110,38,1,2,0,0
110,54,1,2,1,0
110,70,1,2,0,0
110,86,1,2,1,0
110,102,1,2,1,0
110,118,1,1,1,0
110,134,1,3,1,0
110,150,1,4,1,0
110,166,1,2,1,0
110,182,1,2,1,0
110,198,1,2,1,0
110,214,1,2,1,0
110,230,1,1,1,0
110,246,1,1,1,0
111,6,1,2,0,0
111,22,1,3,1,0
111,38,1,2,0,0
111,54,1,2,1,0
111,70,1,2,0,0
111,86,1,2,1,0
111,102,1,2,1,0
111,118,1,1,1,0
111,134,1,3,1,0
111,150,1,4,1,0
111,166,1,2,1,0
111,182,1,2,1,0
111,198,1,2,1,0
111,214,1,2,1,0
111,230,1,1,1,0
111,246,1,1,1,0
144,9,2,2,1,0
144,25,2,2,1,0
144,41,2,3,1,0
144,57,2,2,1,0
144,73,2,3,1,0
144,89,2,2,1,0
144,105,2,4,1,0
144,121,2,2,1,0
144,137,2,2,1,0
144,153,2,2,1,0
144,169,2,2,1,0
144,185,2,1,0,0
144,201,2,2,1,0
144,217,2,1,0,0
144,233,2,2,1,0
144,249,2,1,0,0
145,9,2,2,1,0
145,25,2,2,1,0
145,41,2,3,1,0
145,57,2,2,1,0
145,73,2,3,1,0
145,89,2,2,1,0
145,105,2,4,1,0
145,121,2,2,1,0
145,137,2,2,1,0
145,153,2,2,1,0
145,169,2,2,1,0
145,185,2,1,0,0
145,201,2,2,1,0
145,217,2,1,0,0
145,233,2,2,1,0
145,249,2,1,0,0
146,9,3,2,1,0
146,25,3,2,1,0
146,41,3,3,1,0
146,57,3,2,1,0
146,73,3,3,1,0
146,89,3,2,1,0
146,105,3,4,1,0
146,121,3,2,1,0
146,137,3,2,1,0
146,153,3,2,1,0
146,169,3,2,1,0
146,185,3,1,1,0
146,201,3,2,1,0
146,217,3,1,1,0
146,233,3,2,1,0
146,249,3,1,1,0
147,9,2,2,1,0
147,25,2,2,1,0
147,41,2,3,1,0
147,57,2,2,1,0
147,73,2,3,1,0
147,89,2,2,1,0
147,105,2,4,1,0
147,121,2,2,1,0
147,137,2,2,1,0
147,153,2,2,1,0
147,169,2,2,1,0
147,185,2,1,1,0
147,201,2,2,1,0
147,217,2,1,1,0
147,233,2,2,1,0
147,249,2,1,1,0
148,9,3,2,1,0
148,25,3,2,1,0
148,41,3,3,1,0
148,57,3,2,1,0
148,73,3,3,1,0
148,89,3,2,1,0
148,105,3,4,1,0
148,121,3,2,1,0
148,137,3,2,1,0
148,153,3,2,1,0
148,169,3,2,1,0
148,185,3,1,1,0
148,201,3,2,1,0
148,217,3,1,1,0
148,233,3,2,1,0
148,249,3,1,1,0
149,9,2,2,1,0
149,25,2,2,1,0
149,41,2,3,1,0
149,57,2,2,1,0
149,73,2,3,1,0
149,89,2,2,1,0
149,105,2,4,1,0
149,121,2,2,1,0
149,137,2,2,1,0
149,153,2,2,1,0
149,169,2,2,1,0
149,185,2,1,1,0
149,201,2,2,1,0
149,217,2,1,1,0
149,233,2,2,1,0
149,249,2,1,1,0
150,9,4,2,1,0
150,25,4,2,1,0
150,41,4,3,1,0
150,57,4,2,1,0
150,73,4,3,1,0
150,89,4,2,1,0
150,105,4,4,1,0
150,121,4,2,1,0
150,137,4,2,1,0
150,153,4,2,1,0
150,169,4,2,1,0
150,185,4,1,1,0
150,201,4,2,1,0
150,217,4,1,1,0
150,233,4,2,1,0
150,249,4,1,1,0
151,9,2,2,1,0
151,25,2,2,1,0
151,41,2,3,1,0
151,57,2,2,1,0
151,73,2,3,1,0
151,89,2,2,1,0
151,105,2,4,1,0
151,121,2,2,1,0
151,137,2,2,1,0
151,153,2,2,1,0
151,169,2,2,1,0
151,185,2,1,1,0
151,201,2,2,1,0
151,217,2,1,1,0
151,233,2,2,1,0
151,249,2,1,1,0
152,9,2,2,1,0
152,25,2,2,1,0
152,41,2,3,1,0
152,57,2,2,1,0
152,73,2,3,1,0
152,89,2,2,1,0
152,105,2,4,1,0
152,121,2,2,1,0
152,137,2,2,1,0
152,153,2,2,1,0
152,169,2,2,1,0
152,185,2,1,0,0
152,201,2,2,1,0
152,217,2,1,0,0
152,233,2,2,1,0
152,249,2,1,0,0
153,9,2,2,1,0
153,25,2,2,1,0
153,41,2,3,1,0
153,57,2,2,1,0
153,73,2,3,1,0
153,89,2,2,1,0
153,105,2,4,1,0
153,121,2,2,1,0
153,137,2,2,1,0
153,153,2,2,1,0
153,169,2,2,1,0
153,185,2,1,1,0
153,201,2,2,1,0
153,217,2,1,1,0
153,233,2,2,1,0
153,249,2,1,1,0
154,9,2,2,1,0
154,25,2,2,1,0
154,41,2,3,1,0
154,57,2,2,1,0
154,73,2,3,1,0
154,89,2,2,1,0
154,105,2,4,1,0
154,121,2,2,1,0
154,137,2,2,1,0
154,153,2,2,1,0
154,169,2,2,1,0
154,185,2,1,1,0
154,201,2,2,1,0
154,217,2,1,1,0
154,233,2,2,1,0
154,249,2,1,1,0
155,9,1,2,0,0
155,25,1,2,0,0
155,41,1,3,1,0
155,57,1,2,1,0
155,73,1,3,1,0
155,89,1,2,1,0
155,105,1,4,1,0
155,121,1,2,1,0
155,137,1,2,0,0
155,153,1,2,1,0
155,169,1,2,1,0
155,185,1,1,1,0
155,201,1,2,1,0
155,217,1,1,1,0
155,233,1,2,1,0
155,249,1,1,1,0
156,9,2,2,1,0
156,25,2,2,1,0
156,41,2,3,1,0
156,57,2,2,1,0
156,73,2,3,1,0
156,89,2,2,1,0
156,105,2,4,1,0
156,121,2,2,1,0
156,137,2,2,1,0
156,153,2,2,1,0
156,169,2,2,1,0
156,185,2,1,1,0
156,201,2,2,1,0
156,217,2,1,1,0
156,233,2,2,1,0
156,249,2,1,1,0
157,9,1,2,0,0
157,25,1,2,0,0
157,41,1,3,1,0
157,57,1,2,1,0
157,73,1,3,1,0
157,89,1,2,1,0
157,105,1,4,1,0
157,121,1,2,1,0
157,137,1,2,0,0
157,153,1,2,1,0
157,169,1,2,1,0
157,185,1,1,1,0
157,201,1,2,1,0
157,217,1,1,1,0
157,233,1,2,1,0
157,249,1,1,1,0
158,9,2,2,1,0
158,25,2,2,1,0
158,41,2,3,1,0
158,57,2,2,1,0
158,73,2,3,1,0
158,89,2,2,1,0
158,105,2,4,1,0
158,121,2,2,1,0
158,137,2,2,1,0
158,153,2,2,1,0
158,169,2,2,1,0
158,185,2,1,1,0
158,201,2,2,1,0
158,217,2,1,1,0
158,233,2,2,1,0
158,249,2,1,1,0
159,9,1,2,0,0
159,25,1,2,0,0
159,41,1,3,1,0
159,57,1,2,1,0
159,73,1,3,1,0
159,89,1,2,1,0
159,105,1,4,1,0
159,121,1,2,1,0
159,137,1,2,0,0
159,153,1,2,1,0
159,169,1,2,1,0
159,185,1,1,1,0
159,201,1,2,1,0
159,217,1,1,1,0
159,233,1,2,1,0
159,249,1,1,1,0
