# experiment P-66 (R-064)
# hypothesis: THE LINE THIS REPLACES DIED TWICE, and the third attempt has to be a different mechanism. P-43 / x29 tried one evaluation at the cell centre as an under-sampling witness and was falsified on both clauses; P-44 / x31 tried the mean residual instead and was falsified out of sample. Both were VALUE witnesses: they asked whether the trilinear's value at a point disagrees with the field's. The failure mode they were chasing is not a value disagreement, it is a MISSED ROOT -- an edge whose two endpoints have the same sign while the field crosses zero twice between them, or opposite signs while it crosses three times. THE WITNESS IS A DERIVATIVE SIGN TEST, from Finken, Li, Wang, Guo & Levine, Topology-Preserving Meshing of Implicit Scalar Fields via Monotonicity Constraints, arXiv:2608.12142, IEEE Vis 2026 short paper. Their central statement: if every edge of a PL mesh is monotonic with respect to f, the PL approximation is topologically consistent with f's critical points. The test itself is one line -- sample the directional derivative grad-f dot e-hat at k points along the edge and declare it non-monotonic when any two sampled projections disagree in sign. DO NOT PORT THE PAPER: it is explicitly 2D and the authors say so; its sampling-density argument, its Theorem 1 case analysis (3D Morse theory has four critical-point types and a spherical link, not three and a circle) and its separatrix refinement all fail to generalise, and it wants a Hessian this crate's field trait does not expose. Take the EDGE TEST ALONE, as a diagnostic rather than an extraction rule. WHAT MAKES THIS REGISTRABLE HERE RATHER THAN ANYWHERE ELSE IS THE ORACLE: subgrid::roots::all_roots already finds ALL roots along an edge -- M-94 resolved a slab at 1/1000 of the edge length, M-168 gave each crossing an identity, and M-169 established that identity-based sharing is complete exactly when no root lands on a grid sample point -- so the number of roots per edge is a KNOWN QUANTITY IN THIS REPOSITORY and the monotone-edge test can be scored against it rather than against a hunch. (C1) SOUNDNESS, ONE-SIDED: on eight reference fields at 17^3 / 33^3 / 65^3, with k = 5 samples per edge, every edge the subgrid root finder reports with more than one root is flagged non-monotonic. ZERO FALSE NEGATIVES. (C2) YIELD: the false-positive rate -- edges flagged non-monotonic that carry exactly one root -- is below 20% at k = 5 on the six smooth fields, and the rate falls as k rises. (C3) IT IS A RESOLUTION WITNESS, WHICH IS THE POINT: the non-monotonic edge fraction falls monotonically with resolution on all eight fields, and is highest on thin_plate -- the field whose sub-cell features Marching Cubes structurally cannot see (M-100). CONSEQUENCE IF IT HOLDS: a chunk can report 'this grid under-resolves this field, here' as a number, per chunk, cheaply -- which is the missing input to an LOD decision that M-121's 3.14-cell surface pop and M-72's aliasing both want and neither has.
# falsified by: C1 by ONE multi-root edge the test calls monotonic. C2 by a false-positive rate above 20% on any of the six smooth fields, or a rate that does not fall with k, which would mean the test is measuring sampling noise rather than the field. C3 by a non-monotone sequence in resolution on any field, or by thin_plate not ranking first. NO GOLDEN HASH MOVES: the test is a diagnostic and no extractor calls it. VOID if the oracle reports no multi-root edge at all, since C1's zero false negatives would then be a zero over an empty population -- the multi-root edge count is a recorded column and must be non-zero somewhere in the sweep. The oracle's own resolution is a stated limit rather than an assumption: it divides each edge into a fixed number of intervals and cannot see a root pair closer together than one of them, so the oracle sample count is recorded per row.
# commit 16efbec on amd-ryzen-9-5900x-12-core at 2026-08-27T04:11:19Z
field,samples_per_axis,k,oracle_samples,edges,single_root_edges,multi_root_edges,flagged_non_monotonic,false_negatives,false_positives,false_positive_rate,non_monotonic_fraction,falls_with_k,falls_with_resolution,thin_plate_ranks_first,c1_holds,c2_holds,c3_holds
noise_cavity,17,2,128,13872,1232,323,1285,160,449,0.364448,0.092633,false,true,false,false,false,false
noise_cavity,17,3,128,13872,1232,323,1906,52,611,0.495942,0.137399,false,true,false,false,false,false
noise_cavity,17,5,128,13872,1232,323,2148,5,660,0.535714,0.154844,false,true,false,false,false,false
noise_cavity,17,9,128,13872,1232,323,2238,1,684,0.555195,0.161332,false,true,false,false,false,false
noise_cavity,17,17,128,13872,1232,323,2277,0,692,0.561688,0.164144,false,true,false,false,false,false
sphere,33,2,128,104544,1158,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,33,3,128,104544,1158,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,33,5,128,104544,1158,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,33,9,128,104544,1158,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,33,17,128,104544,1158,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
torus,33,2,128,104544,1128,0,1848,0,0,0.000000,0.017677,true,true,false,false,false,false
torus,33,3,128,104544,1128,0,1848,0,0,0.000000,0.017677,true,true,false,false,false,false
torus,33,5,128,104544,1128,0,1848,0,0,0.000000,0.017677,true,true,false,false,false,false
torus,33,9,128,104544,1128,0,1848,0,0,0.000000,0.017677,true,true,false,false,false,false
torus,33,17,128,104544,1128,0,1848,0,0,0.000000,0.017677,true,true,false,false,false,false
box_exact,33,2,128,104544,1350,0,1,0,0,0.000000,0.000010,true,true,false,false,false,false
box_exact,33,3,128,104544,1350,0,1,0,0,0.000000,0.000010,true,true,false,false,false,false
box_exact,33,5,128,104544,1350,0,1,0,0,0.000000,0.000010,true,true,false,false,false,false
box_exact,33,9,128,104544,1350,0,1,0,0,0.000000,0.000010,true,true,false,false,false,false
box_exact,33,17,128,104544,1350,0,1,0,0,0.000000,0.000010,true,true,false,false,false,false
csg_difference,33,2,128,104544,1386,21,963,0,42,0.030303,0.009211,true,true,false,false,false,false
csg_difference,33,3,128,104544,1386,21,963,0,42,0.030303,0.009211,true,true,false,false,false,false
csg_difference,33,5,128,104544,1386,21,963,0,42,0.030303,0.009211,true,true,false,false,false,false
csg_difference,33,9,128,104544,1386,21,963,0,42,0.030303,0.009211,true,true,false,false,false,false
csg_difference,33,17,128,104544,1386,21,969,0,42,0.030303,0.009269,true,true,false,false,false,false
thin_plate,33,2,128,104544,510,0,225,0,225,0.441176,0.002152,true,true,false,false,false,false
thin_plate,33,3,128,104544,510,0,225,0,225,0.441176,0.002152,true,true,false,false,false,false
thin_plate,33,5,128,104544,510,0,225,0,225,0.441176,0.002152,true,true,false,false,false,false
thin_plate,33,9,128,104544,510,0,225,0,225,0.441176,0.002152,true,true,false,false,false,false
thin_plate,33,17,128,104544,510,0,225,0,225,0.441176,0.002152,true,true,false,false,false,false
gyroid,33,2,128,104544,5292,108,8595,0,267,0.050454,0.082214,false,true,false,false,false,false
gyroid,33,3,128,104544,5292,108,8664,0,270,0.051020,0.082874,false,true,false,false,false,false
gyroid,33,5,128,104544,5292,108,8703,0,273,0.051587,0.083247,false,true,false,false,false,false
gyroid,33,9,128,104544,5292,108,8724,0,276,0.052154,0.083448,false,true,false,false,false,false
gyroid,33,17,128,104544,5292,108,8733,0,276,0.052154,0.083534,false,true,false,false,false,false
fbm_terrain,33,2,128,104544,2065,97,31977,18,320,0.154964,0.305871,false,true,false,false,false,false
fbm_terrain,33,3,128,104544,2065,97,40590,4,355,0.171913,0.388258,false,true,false,false,false,false
fbm_terrain,33,5,128,104544,2065,97,44022,0,396,0.191768,0.421086,false,true,false,false,false,false
fbm_terrain,33,9,128,104544,2065,97,44517,0,402,0.194673,0.425821,false,true,false,false,false,false
fbm_terrain,33,17,128,104544,2065,97,44649,0,404,0.195642,0.427083,false,true,false,false,false,false
noise_cavity,33,2,128,104544,6502,504,9888,95,2042,0.314057,0.094582,false,true,false,false,false,false
noise_cavity,33,3,128,104544,6502,504,11048,28,2210,0.339895,0.105678,false,true,false,false,false,false
noise_cavity,33,5,128,104544,6502,504,11416,2,2245,0.345278,0.109198,false,true,false,false,false,false
noise_cavity,33,9,128,104544,6502,504,11557,0,2258,0.347278,0.110547,false,true,false,false,false,false
noise_cavity,33,17,128,104544,6502,504,11599,0,2261,0.347739,0.110949,false,true,false,false,false,false
sphere,65,2,128,811200,4758,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,65,3,128,811200,4758,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,65,5,128,811200,4758,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,65,9,128,811200,4758,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
sphere,65,17,128,811200,4758,0,0,0,0,0.000000,0.000000,true,true,false,false,false,false
torus,65,2,128,811200,4208,0,7800,0,0,0.000000,0.009615,true,true,false,false,false,false
torus,65,3,128,811200,4208,0,7800,0,0,0.000000,0.009615,true,true,false,false,false,false
torus,65,5,128,811200,4208,0,7800,0,0,0.000000,0.009615,true,true,false,false,false,false
torus,65,9,128,811200,4208,0,7800,0,0,0.000000,0.009615,true,true,false,false,false,false
torus,65,17,128,811200,4208,0,7800,0,0,0.000000,0.009615,true,true,false,false,false,false
box_exact,65,2,128,811200,5766,0,1,0,0,0.000000,0.000001,true,true,false,false,false,false
box_exact,65,3,128,811200,5766,0,1,0,0,0.000000,0.000001,true,true,false,false,false,false
box_exact,65,5,128,811200,5766,0,1,0,0,0.000000,0.000001,true,true,false,false,false,false
box_exact,65,9,128,811200,5766,0,1,0,0,0.000000,0.000001,true,true,false,false,false,false
box_exact,65,17,128,811200,5766,0,1,0,0,0.000000,0.000001,true,true,false,false,false,false
csg_difference,65,2,128,811200,6012,48,3758,0,105,0.017465,0.004633,true,true,false,false,false,false
csg_difference,65,3,128,811200,6012,48,3770,0,105,0.017465,0.004647,true,true,false,false,false,false
csg_difference,65,5,128,811200,6012,48,3782,0,105,0.017465,0.004662,true,true,false,false,false,false
csg_difference,65,9,128,811200,6012,48,3794,0,105,0.017465,0.004677,true,true,false,false,false,false
csg_difference,65,17,128,811200,6012,48,3794,0,105,0.017465,0.004677,true,true,false,false,false,false
thin_plate,65,2,128,811200,2046,0,961,0,961,0.469697,0.001185,true,true,false,false,false,false
thin_plate,65,3,128,811200,2046,0,961,0,961,0.469697,0.001185,true,true,false,false,false,false
thin_plate,65,5,128,811200,2046,0,961,0,961,0.469697,0.001185,true,true,false,false,false,false
thin_plate,65,9,128,811200,2046,0,961,0,961,0.469697,0.001185,true,true,false,false,false,false
thin_plate,65,17,128,811200,2046,0,961,0,961,0.469697,0.001185,true,true,false,false,false,false
gyroid,65,2,128,811200,21534,114,34866,0,576,0.026748,0.042981,false,true,false,false,false,false
gyroid,65,3,128,811200,21534,114,34995,0,576,0.026748,0.043140,false,true,false,false,false,false
gyroid,65,5,128,811200,21534,114,35064,0,579,0.026888,0.043225,false,true,false,false,false,false
gyroid,65,9,128,811200,21534,114,35109,0,582,0.027027,0.043280,false,true,false,false,false,false
gyroid,65,17,128,811200,21534,114,35127,0,582,0.027027,0.043303,false,true,false,false,false,false
fbm_terrain,65,2,128,811200,8637,147,186485,7,719,0.083246,0.229888,false,true,false,false,false,false
fbm_terrain,65,3,128,811200,8637,147,203385,0,738,0.085446,0.250721,false,true,false,false,false,false
fbm_terrain,65,5,128,811200,8637,147,207155,0,749,0.086720,0.255369,false,true,false,false,false,false
fbm_terrain,65,9,128,811200,8637,147,208130,0,751,0.086951,0.256571,false,true,false,false,false,false
fbm_terrain,65,17,128,811200,8637,147,208520,0,753,0.087183,0.257051,false,true,false,false,false,false
noise_cavity,65,2,128,811200,28876,698,48325,30,3844,0.133121,0.059572,false,true,false,false,false,false
noise_cavity,65,3,128,811200,28876,698,49993,6,3926,0.135961,0.061628,false,true,false,false,false,false
noise_cavity,65,5,128,811200,28876,698,50591,1,3943,0.136549,0.062366,false,true,false,false,false,false
noise_cavity,65,9,128,811200,28876,698,50805,0,3956,0.137000,0.062629,false,true,false,false,false,false
noise_cavity,65,17,128,811200,28876,698,50880,0,3960,0.137138,0.062722,false,true,false,false,false,false
