# experiment P-148 (R-148)
# hypothesis: A metric field must be interpolated, and component-wise interpolation of symmetric positive-definite matrices is not intrinsic -- it can swell determinants, which in mesh terms means spuriously coarsening. The log-Euclidean scheme exp((1-t)log M1 + t log M2) is determinant-monotone. This lands directly on M-32: seams are bit-exact only when the cell size is a power of two, and a matrix logarithm is not obviously going to preserve that. (C1) Component-wise interpolation produces measurable determinant swell -- above 5% on at least one field -- and log-Euclidean does not. (C2) Log-Euclidean interpolation preserves M-32's power-of-two bit-exactness, or it does not, and which is stated as the result rather than assumed. (C3) The seam remains closed under both schemes: zero additional open edges against the existing seam counter. SHARE: C1 moves the metric-construction stage, whose share P-146 C3 reports.
# falsified by: C1 by no swell, which would mean the intrinsic scheme is unnecessary here and saves the transcendental cost. C2 by loss of bit-exactness, which would make log-Euclidean incompatible with the crate's determinism goal and is the outcome that decides the row. C3 by new open edges under either scheme. VACUITY CONTROL: the fixture must contain a seam where the two chunks' metrics genuinely differ, reported as a metric-distance column, or both schemes are interpolating between equal endpoints.
# commit 923df1e on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:10Z
interpolation_scheme,seam_axis,determinant_swell_max,determinant_swell_mean,seam_vertices_moved,seam_open_edges,hashes_moved,bit_exact_seam,cell_size_power_of_two,c1_holds,c2_holds,c3_holds,at_floor_fraction,at_floor_pairs,bit_exact_first_failure_t,bit_exact_pairs,bit_exact_seam_nondyadic,boundary_edges_total,boundary_edges_total_baseline,c1_componentwise_swell_max,c1_log_euclidean_swell_max,c1_row_swell_above_bar,c2_global_holds,c3_global_holds,c3_row_decisive,cell_size,cells_per_axis,cells_per_chunk,control_seam_open_edges,control_seam_opens,determinant_swell_max_off_floor,dyadic_ladder_steps,field,gap_over_weld_epsilon,golden_control_hash_moved,golden_fixture_matches_shipped,golden_interpolations,golden_rows,interp_ms,interp_ns_per_pair,interp_ns_per_pair_max,interp_ns_per_pair_min,log_determinant_swell_max,metric_distance_max,metric_distance_mean,metric_distance_min,metric_ms,min_metric_eigenvalue,nondyadic_ladder_steps,off_floor_pairs,p_norm,pairs_with_distinct_metrics,seam_cells,seam_ghost_ulps,seam_open_edges_baseline,seam_own_ulps,seam_pairs,seam_plane_ulps,seam_position_delta,seam_position_delta_cells,seam_vertices_a,seam_vertices_b,seam_vertices_displaced,seam_vertices_unmatched,seam_worst_displacement_gap,seam_worst_displacement_gap_cells,swell_self_max,timing_repeats,transcendental_cost_ratio,weight_reversal_exact,weld_epsilon,welded_away
componentwise,z,7.667198e1,3.483746e0,68,0,0,false,false,true,true,true,0.000000,0,0.000000,891,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,136,true,7.667198e1,8,sphere,1.994987e-11,true,true,207872,24,5.175980,3.027,3.359,3.008,4.352495e0,1.902682e0,8.139832e-1,3.596978e-1,3.176535,1.251002e-3,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,2.347044e-16,1.994987e-15,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,z,1.492140e-13,-6.875096e-16,68,0,0,false,false,true,true,true,0.000000,0,0.000000,891,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,136,true,1.492140e-13,8,sphere,1.610856e-11,true,true,207872,24,47.973448,754.967,761.061,754.889,1.492140e-13,1.902682e0,8.139832e-1,3.596978e-1,3.176535,4.136117e-5,10,8092,2.0,1156,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,1.895125e-16,1.610856e-15,1.678657e-13,5,249.382581,false,1.176471e-5,68
componentwise,x,7.742469e0,4.704069e-1,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,80,true,7.742469e0,8,torus,0.000000e0,true,true,207872,24,5.742644,3.027,3.359,3.008,2.168193e0,2.313316e0,6.239611e-1,6.542978e-2,3.542867,3.643943e-5,10,7168,2.0,1024,1024,0,0,0,40,0,0.000000e0,0.000000e0,40,40,40,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,40
log_euclidean,x,1.056932e-13,1.114606e-15,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,80,true,1.056932e-13,8,torus,0.000000e0,true,true,207872,24,53.635982,754.967,761.061,754.889,1.056932e-13,2.313316e0,6.239611e-1,6.542978e-2,3.542867,3.149509e-5,10,7168,2.0,1024,1024,0,0,0,40,0,0.000000e0,0.000000e0,40,40,40,0,0.000000e0,0.000000e0,8.348877e-14,5,249.382581,false,1.250000e-5,40
componentwise,x,2.096607e1,6.551334e-1,24,0,0,false,false,true,true,true,0.000000,0,0.000000,806,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,88,true,2.096607e1,8,torus,5.419884e-13,true,true,207872,24,6.425229,3.027,3.359,3.008,3.089499e0,2.626738e0,6.646591e-1,1.531856e-1,3.959180,9.907114e-5,10,8092,2.0,1156,1156,30,0,2,44,0,2.081668e-16,1.769418e-15,44,44,44,0,6.376334e-18,5.419884e-17,0.000000e0,5,249.382581,false,1.176471e-5,44
log_euclidean,x,2.966516e-13,1.448833e-17,24,0,0,false,false,true,true,true,0.000000,0,0.000000,806,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,88,true,2.966516e-13,8,torus,1.135873e-12,true,true,207872,24,59.845870,754.967,761.061,754.889,2.966516e-13,2.626738e0,6.646591e-1,1.531856e-1,3.959180,6.456008e-5,10,8092,2.0,1156,1156,30,0,2,44,0,2.081668e-16,1.769418e-15,44,44,44,0,1.336321e-17,1.135873e-16,2.113865e-13,5,249.382581,false,1.176471e-5,44
componentwise,y,3.856500e2,5.664607e0,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,256,true,3.856500e2,8,torus,0.000000e0,true,true,207872,24,5.460062,3.027,3.359,3.008,5.957520e0,3.986081e0,1.418954e0,3.419602e-2,3.412336,2.592641e-3,10,7168,2.0,1024,1024,0,0,0,128,0,0.000000e0,0.000000e0,128,128,128,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,128
log_euclidean,y,1.181277e-13,-1.414342e-15,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,256,true,1.181277e-13,8,torus,0.000000e0,true,true,207872,24,50.810070,754.967,761.061,754.889,1.181277e-13,3.986081e0,1.418954e0,3.419602e-2,3.412336,4.093227e-4,10,7168,2.0,1024,1024,0,0,0,128,0,0.000000e0,0.000000e0,128,128,128,0,0.000000e0,0.000000e0,1.847411e-13,5,249.382581,false,1.250000e-5,128
componentwise,y,3.374163e1,3.749914e0,135,0,0,false,false,true,true,true,0.000000,0,0.000000,214,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,272,true,3.374163e1,8,torus,3.897575e-13,true,true,207872,24,6.233608,3.027,3.359,3.008,3.547939e0,2.381124e0,1.391253e0,3.122780e-2,3.876590,2.321580e-3,10,8092,2.0,1156,1156,30,0,2,136,0,2.081668e-16,1.769418e-15,136,136,136,0,4.585382e-18,3.897575e-17,0.000000e0,5,249.382581,false,1.176471e-5,136
log_euclidean,y,1.953993e-13,3.169322e-16,136,0,0,false,false,true,true,true,0.000000,0,0.000000,214,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,272,true,1.953993e-13,8,torus,4.937022e-13,true,true,207872,24,57.456391,754.967,761.061,754.889,1.953993e-13,2.381124e0,1.391253e0,3.122780e-2,3.876590,4.827034e-4,10,8092,2.0,1156,1156,30,0,2,136,0,2.081668e-16,1.769418e-15,136,136,136,0,5.808261e-18,4.937022e-17,1.607603e-13,5,249.382581,false,1.176471e-5,136
componentwise,z,7.742469e0,4.704069e-1,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,80,true,7.742469e0,8,torus,0.000000e0,true,true,207872,24,4.593666,3.027,3.359,3.008,2.168193e0,2.313316e0,6.239611e-1,6.542978e-2,3.091223,3.643943e-5,10,7168,2.0,1024,1024,0,0,0,40,0,0.000000e0,0.000000e0,40,40,40,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,40
log_euclidean,z,8.526513e-14,1.273364e-15,0,0,0,true,true,true,true,true,0.000000,0,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,80,true,8.526513e-14,8,torus,0.000000e0,true,true,207872,24,44.947665,754.967,761.061,754.889,8.526513e-14,2.313316e0,6.239611e-1,6.542978e-2,3.091223,3.149509e-5,10,7168,2.0,1024,1024,0,0,0,40,0,0.000000e0,0.000000e0,40,40,40,0,0.000000e0,0.000000e0,9.414691e-14,5,249.382581,false,1.250000e-5,40
componentwise,z,2.096607e1,6.551334e-1,24,0,0,false,false,true,true,true,0.000000,0,0.000000,806,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,88,true,2.096607e1,8,torus,8.559592e-14,true,true,207872,24,5.167000,3.027,3.359,3.008,3.089499e0,2.626738e0,6.646591e-1,1.531856e-1,3.433326,9.907114e-5,10,8092,2.0,1156,1156,30,0,2,44,0,2.081668e-16,1.769418e-15,44,44,44,0,1.007011e-18,8.559592e-18,0.000000e0,5,249.382581,false,1.176471e-5,44
log_euclidean,z,1.776357e-13,-6.753537e-16,24,0,0,false,false,true,true,true,0.000000,0,0.000000,806,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,88,true,1.776357e-13,8,torus,8.878399e-14,true,true,207872,24,50.235736,754.967,761.061,754.889,1.776357e-13,2.626738e0,6.646591e-1,1.531856e-1,3.433326,6.456008e-5,10,8092,2.0,1156,1156,30,0,2,44,0,2.081668e-16,1.769418e-15,44,44,44,0,1.044517e-18,8.878399e-18,1.607603e-13,5,249.382581,false,1.176471e-5,44
componentwise,x,7.071069e8,4.143203e6,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,1.005228,3.027,3.359,3.008,2.037669e1,3.077751e1,2.452217e-1,0.000000e0,1.114258,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,x,8.515872e-10,1.006906e-12,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,0,false,2.664535e-15,8,box_exact,0.000000e0,true,true,207872,24,9.157280,754.967,761.061,754.889,8.515872e-10,3.077751e1,2.452217e-1,0.000000e0,1.114258,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,2.486900e-14,5,249.382581,false,1.250000e-5,60
componentwise,x,7.513011e8,3.899486e6,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1135,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,1.105288,3.027,3.359,3.008,2.043732e1,3.086325e1,2.178139e-1,0.000000e0,1.243910,1.073432e-8,10,28,2.0,21,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,x,9.966481e-10,3.441680e-14,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1135,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,0,false,2.664535e-15,8,box_exact,0.000000e0,true,true,207872,24,10.149808,754.967,761.061,754.889,9.966481e-10,3.086325e1,2.178139e-1,0.000000e0,1.243910,1.073432e-8,10,28,2.0,21,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,5.039778e-7,5,249.382581,false,1.176471e-5,68
componentwise,y,7.071069e8,4.143205e6,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,0.971398,3.027,3.359,3.008,2.037669e1,3.077751e1,2.452217e-1,0.000000e0,1.095259,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,y,4.403766e-11,1.050928e-13,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,0,false,1.776357e-15,8,box_exact,0.000000e0,true,true,207872,24,9.140960,754.967,761.061,754.889,4.403766e-11,3.077751e1,2.452217e-1,0.000000e0,1.095259,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,2.476617e-7,5,249.382581,false,1.250000e-5,60
componentwise,y,7.513010e8,3.899486e6,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1135,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,1.089138,3.027,3.359,3.008,2.043732e1,3.086325e1,2.178139e-1,0.000000e0,1.219729,1.073432e-8,10,28,2.0,20,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,y,7.690577e-10,-5.605103e-13,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1136,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,0,false,2.664535e-15,8,box_exact,0.000000e0,true,true,207872,24,10.304859,754.967,761.061,754.889,7.690577e-10,3.086325e1,2.178139e-1,0.000000e0,1.219729,1.073432e-8,10,28,2.0,20,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,5.039778e-7,5,249.382581,false,1.176471e-5,68
componentwise,z,7.071069e8,4.143203e6,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,0.978238,3.027,3.359,3.008,2.037669e1,3.077751e1,2.452217e-1,0.000000e0,1.098498,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,z,8.515872e-10,1.006909e-12,0,0,0,true,true,true,true,true,0.996094,1020,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,0,false,8.881784e-16,8,box_exact,0.000000e0,true,true,207872,24,9.606263,754.967,761.061,754.889,8.515872e-10,3.077751e1,2.452217e-1,0.000000e0,1.098498,1.100533e-8,10,28,2.0,12,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,2.476617e-7,5,249.382581,false,1.250000e-5,60
componentwise,z,7.513011e8,3.899486e6,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1135,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,0,false,2.000000e-1,8,box_exact,0.000000e0,true,true,207872,24,1.258100,3.027,3.359,3.008,2.043732e1,3.086325e1,2.178139e-1,0.000000e0,1.228119,1.073432e-8,10,28,2.0,19,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.176471e-5,68
log_euclidean,z,9.966481e-10,-1.651390e-13,0,0,0,false,false,true,true,true,0.996540,1152,0.125000,1137,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,0,false,8.881784e-16,8,box_exact,0.000000e0,true,true,207872,24,10.722553,754.967,761.061,754.889,9.966481e-10,3.086325e1,2.178139e-1,0.000000e0,1.228119,1.073432e-8,10,28,2.0,19,1156,30,0,2,68,0,2.081668e-16,1.769418e-15,68,68,68,0,0.000000e0,0.000000e0,2.519889e-7,5,249.382581,false,1.176471e-5,68
componentwise,x,6.841331e9,1.046984e7,0,0,0,true,true,true,true,true,0.874023,895,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,34,true,1.882027e1,8,csg_difference,0.000000e0,true,true,207872,24,1.780614,3.027,3.359,3.008,2.264625e1,2.330878e1,9.396796e-1,0.000000e0,2.245158,1.097760e-8,10,903,2.0,179,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
log_euclidean,x,1.133311e-7,-1.935536e-11,0,0,0,true,true,true,true,true,0.874023,895,none,1024,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.250000000000e-1,32,16,34,true,1.731948e-14,8,csg_difference,0.000000e0,true,true,207872,24,15.652010,754.967,761.061,754.889,1.133311e-7,2.330878e1,9.396796e-1,0.000000e0,2.245158,1.097749e-8,10,903,2.0,179,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,1.467471e-7,5,249.382581,false,1.250000e-5,60
componentwise,x,5.975205e9,5.351684e6,23,0,0,false,false,true,true,true,0.870242,1006,0.000000,968,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.176470588235e-1,34,17,58,true,7.139654e0,8,csg_difference,2.359224e-12,true,true,207872,24,1.991856,3.027,3.359,3.008,2.251088e1,2.188450e1,6.659597e-1,0.000000e0,2.518099,1.066659e-8,10,1050,2.0,195,1156,30,0,2,76,0,2.081668e-16,1.769418e-15,76,76,76,0,2.775558e-17,2.359224e-16,0.000000e0,5,249.382581,false,1.176471e-5,76
log_euclidean,x,1.771547e-7,7.865819e-12,24,0,0,false,false,true,true,true,0.870242,1006,0.000000,968,false,0,0,6.841331e9,1.771547e-7,false,true,false,true,1.176470588235e-1,34,17,58,true,2.131628e-14,8,csg_difference,2.359224e-12,true,true,207872,24,17.379313,754.967,761.061,754.889,1.771547e-7,2.188450e1,6.659597e-1,0.000000e0,2.518099,1.066648e-8,10,1050,2.0,195,1156,30,0,2,76,0,2.081668e-16,1.769418e-15,76,76,76,0,2.775558e-17,2.359224e-16,1.786967e-7,5,249.382581,false,1.176471e-5,76
componentwise,y,6.841331e9,1.046984e7,0,0,0,true,true,true,true,true,0.874023,895,none,1024,false,0,0,6.841331e9,1.771547e-7,true,true,false,true,1.250000000000e-1,32,16,34,true,1.882027e1,8,csg_difference,0.000000e0,true,true,207872,24,1.770164,3.027,3.359,3.008,2.264625e1,2.330878e1,9.396796e-1,0.000000e0,2.227457,1.097760e-8,10,903,2.0,179,1024,0,0,0,60,0,0.000000e0,0.000000e0,60,60,60,0,0.000000e0,0.000000e0,0.000000e0,5,249.382581,false,1.250000e-5,60
