# experiment P-146 (R-146)
# hypothesis: THE LARGEST PAID-FOR GAP THIS SWEEP FOUND. The corpus holds five papers on metric-based anisotropic adaptation at 0.70-0.71 -- Yano & Darmofal, Cao, Bawin et al., ParMmg, Mirebeau -- and the repository cites none of them; Loseille, Alauzet, metric tensor and log-Euclidean are zero across every file. The optimal L^p metric is M_Lp = D_Lp . det(|H_u|)^(-1/(2p+d)) . |H_u| with complexity C(M) = integral sqrt(det M) standing in for vertex count (NASA NTRS 20200003084, restating Loseille & Alauzet verbatim; the SIAM originals are paywalled). The Hessian is available: the crate already samples the trilinear and already computes central differences at cell size (M-65). (C1) At matched symmetric Hausdorff error, a metric-driven mesh uses at least 25% fewer triangles than uniform refinement on at least three of eight reference fields. (C2) The fields where it wins are the ones with a flat direction -- ridges, creases, the CSG box edges -- and the fields where it does not win are the isotropically curved ones, predicted per field before the run. (C3) Computing the metric costs under 15% of extraction. SHARE: C1 moves the triangle budget, whose share of frame cost M-135 puts at 29% for the contour and 45% for the collider check.
# falsified by: C1 by under 25% everywhere, which would mean our fields have no exploitable anisotropy and closes Group D's largest row. C2 by the win landing on the wrong fields, which would mean the mechanism is not the one claimed even if the number is real. C3 by above 15%. VACUITY CONTROL: the reported maximum aspect ratio must exceed 3 on at least one field, or the 'anisotropic' arm is isotropic and C1 is measuring noise.
# commit 77e71cb on amd-ryzen-9-5900x-12-core at 2026-08-30T09:27:05Z
field,resolution,metric,p_norm,complexity_target,triangles_isotropic,triangles_anisotropic,hausdorff_isotropic,hausdorff_anisotropic,triangles_at_matched_hausdorff,ratio,aspect_ratio_max,aspect_ratio_mean,metric_ms,metric_share,c1_holds,c2_holds,c3_holds,aspect_ratio_max_off_floor,aspect_ratio_mean_off_floor,at_floor_cells,at_floor_fraction,axes_pinned,axis_ratio,band_points,budget_ratio,c1_field_win,c1_population,c1_skip_reason,c1_winners,c2_global_holds,c2_mechanism_holds,c2_predicted_axis,c2_predicted_win,c3_row_decisive,c3_row_holds,extract_ms,extract_ms_max,extract_ms_min,field_bound,fit_r2_anisotropic,fit_r2_isotropic,flat_axis,flat_axis_aligned_fraction,grid_anisotropic,grid_isotropic,hausdorff_matched,matched_interpolated,mesh_residual_max_aniso,mesh_residual_max_iso,metric_ms_max,metric_ms_min,metric_share_hi,metric_share_lo,off_floor_cells,share_times_resolution,triangles_iso_at_matched
fbm_terrain,17,M_Lp_hessian,2.0,9.920170e-1,956,2424,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,2.787260e9,8.343825e8,2.100965,1.993481,false,unmeasurable,false,0.000000e0,0.000000e0,578,1.000000,1,6.200000,578,0.978018,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,true,y,true,true,false,1.053918,1.065458,1.052947,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,1.000000,31x5x31,17x17x17,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,2.105865e-1,3.310923e-1,2.117546,2.092845,2.011066,1.964268,0,33.889169,unmeasurable:bound=Unbounded
fbm_terrain,25,M_Lp_hessian,2.0,7.781170e-1,2172,7276,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,3.772483e9,1.244052e9,4.555683,1.389977,false,unmeasurable,false,0.000000e0,0.000000e0,1250,1.000000,1,11.400000,1250,1.003200,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,true,y,true,true,false,3.277524,3.285123,3.265944,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,1.000000,57x5x55,25x25x25,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,1.307060e-1,4.358427e-1,4.571683,4.551722,1.399804,1.385556,0,34.749425,unmeasurable:bound=Unbounded
fbm_terrain,33,M_Lp_hessian,2.0,6.823077e-1,3946,16114,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,4.555442e9,1.671208e9,7.887557,1.067020,false,unmeasurable,false,0.000000e0,0.000000e0,2178,1.000000,1,17.400000,2178,1.004675,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,true,y,true,true,false,7.392133,7.424344,7.387753,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,1.000000,87x5x83,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,8.361588e-2,4.554492e-1,8.076198,7.880197,1.093187,1.061400,0,35.211674,unmeasurable:bound=Unbounded
fbm_terrain,49,M_Lp_hessian,2.0,5.533534e-1,9352,49860,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,7.193058e9,2.471646e9,17.367725,0.732684,false,unmeasurable,false,0.000000e0,0.000000e0,4802,1.000000,1,31.000000,4802,0.994696,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,true,y,true,true,false,23.704261,23.734651,23.678491,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,1.000000,155x5x151,49x49x49,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,4.743905e-2,3.277953e-1,17.435665,17.356055,0.736350,0.731254,0,35.901500,unmeasurable:bound=Unbounded
fbm_terrain,65,M_Lp_hessian,2.0,4.713142e-1,16884,115174,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,8.544427e9,3.141562e9,30.261199,0.552345,false,unmeasurable,false,0.000000e0,0.000000e0,8450,1.000000,1,47.400000,8450,1.005389,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,true,y,true,true,false,54.786806,54.919397,54.684895,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,1.000000,237x5x233,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,2.696938e-2,2.910318e-1,30.287329,30.248278,0.553852,0.550776,0,35.902402,unmeasurable:bound=Unbounded
noise_cavity,17,M_Lp_hessian,2.0,3.510168e1,2560,2560,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,5.685425e8,2.945861e6,1.599352,4.118400,false,unmeasurable,false,5.461807e3,4.510350e1,6,0.005181,0,1.000000,1158,1.000000,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,false,none,false,true,false,0.388343,0.405742,0.388073,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,mixed,0.005181,17x17x17,17x17x17,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,1.764012e0,1.764012e0,1.611672,1.595391,4.153012,3.932033,1152,70.012808,unmeasurable:bound=Unbounded
noise_cavity,25,M_Lp_hessian,2.0,3.758484e1,7016,7016,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,5.985075e8,2.332598e5,3.595066,2.981656,false,unmeasurable,false,1.129182e5,1.053657e2,1,0.000390,0,1.000000,2567,1.000000,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,false,none,false,true,false,1.205728,1.221659,1.199739,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,0.000390,25x25x25,25x25x25,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,1.802366e0,1.802366e0,3.626066,3.559926,3.022379,2.914010,2566,74.541397,unmeasurable:bound=Unbounded
noise_cavity,33,M_Lp_hessian,2.0,3.877107e1,13236,13236,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,6.144770e8,1.298955e5,6.603187,2.513031,false,unmeasurable,false,6.286097e4,1.221802e2,1,0.000211,0,1.000000,4735,1.000000,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,false,none,false,true,false,2.627579,2.754270,2.618689,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,0.000211,33x33x33,33x33x33,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,1.554761e0,1.554761e0,6.612628,6.578408,2.525167,2.388440,4734,82.930017,unmeasurable:bound=Unbounded
noise_cavity,49,M_Lp_hessian,2.0,3.341819e1,31888,31888,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,6.311422e8,6.017503e4,14.605475,1.843903,false,unmeasurable,false,5.994681e4,3.851669e2,1,0.000095,0,1.000000,10556,1.000000,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,false,none,false,true,false,7.920957,7.942637,7.919007,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,0.000095,49x49x49,49x49x49,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,2.237132e0,2.237132e0,14.610385,14.599585,1.844977,1.838128,10555,90.351238,unmeasurable:bound=Unbounded
noise_cavity,65,M_Lp_hessian,2.0,2.876359e1,58112,58112,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,2.156235e9,2.183255e5,26.023389,1.492498,false,unmeasurable,false,2.156235e9,1.153444e5,3,0.000159,0,1.000000,18892,1.000000,unmeasurable:bound=Unbounded,4,unmeasurable:bound=Unbounded,0,true,false,none,false,true,false,17.436126,17.668498,17.424786,Unbounded,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,y,0.000159,65x65x65,65x65x65,unmeasurable:bound=Unbounded,unmeasurable:bound=Unbounded,1.750529e0,1.750529e0,26.076658,25.997568,1.496527,1.471408,18889,97.012392,unmeasurable:bound=Unbounded
