# experiment P-110 (R-110)
# hypothesis: PIBIRI AND KANDA'S CONTRIBUTION IS RANK/SELECT THAT SUPPORTS FLIP(I) WHILE STAYING FAST, WHICH IS THE SHAPE A STRUCTURE WRITTEN DURING A SWEEP NEEDS RATHER THAN ONE BUILT ONCE. The gate this row is scored AGAINST rather than around: validate/determinism.rs:268-300 runs the extractor three times, the third into a REUSED BUFFER, explicitly to fail when output depends on prior state -- its own doc comment says so. That gate is the reason R-027 was declined and split (V-45), and a mutable rank/select is only admissible here if its final state is a function of the flip SET and not of the flip ORDER. So order-independence is the clause, not the caveat. (C1) flip(i) plus rank stays within 2x of the static directory's rank cost. (C2) The final structure is INDEPENDENT OF THE ORDER THE FLIPS ARRIVE IN, bit-identical over a registered set of seeded permutations of one flip set. (C3) Rank answers equal the static directory's after every permutation. SHARE: no time is claimed of extraction; C1 is a cost bound against a named baseline and C2 is the property the crate's determinism gate demands. A row that passed C1 and failed C2 would be worthless here, which is why C2 is the falsifier that closes it.
# falsified by: C2 by any dependence on insertion order in the final structure, which is V-45's objection arriving again and closes the row immediately. C1 by rank costing more than 2x the static directory's. C3 by any rank answer differing after a permutation. VACUITY CONTROL: distinct_final_states must be 1 for a pass, AND a deliberately order-sensitive variant must report control_distinct_final_states greater than 1 in the same run -- the control is what proves the comparator can see disorder at all.
# commit d05a310 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:31:51Z
field,resolution,flips,permutations,ns_per_flip,ns_per_rank_mutable,ns_per_rank_static,rank_ratio,final_structures_identical,distinct_final_states,control_distinct_final_states,c1_holds,c2_holds,c3_holds,active_cells_after,active_cells_before,active_fraction,bitmap_bytes,bitmap_matches_scalar,bitmap_words,c1_holds_cycles,c1_holds_ns,cell_bits,cell_words_per_row,cells,control_answers_correct,control_structures_identical,count_ones_per_flip,count_ones_per_rank_mutable,count_ones_per_rank_static,cycles_per_flip,cycles_per_rank_mutable,cycles_per_rank_static,flip_plus_rank_ratio,flip_plus_rank_ratio_cycles,flip_plus_rank_ratio_instructions,full_sweep_bits,ghz,inner_flip,inner_rank,inner_rank_control,instructions_per_flip,instructions_per_rank_control,instructions_per_rank_mutable,instructions_per_rank_static,max_words_scanned,mutable_directory_bytes,mutable_equals_prefix_all_bits,mutable_overhead_fraction,ns_per_rank_control,pad_bits_set,rank_answers_checked,rank_answers_equal,rank_ratio_cycles,rank_ratio_instructions,registered_arm,sample_bit_row,static_directory_bytes,static_equals_prefix_all_bits,static_overhead_fraction,target_feature_popcnt,top_level_slots,tree_levels
box_exact,65,4096,128,2.1651,12.5854,6.2675,2.0081,true,1,128,false,true,true,9694,5768,0.036980,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,9.065,52.718,26.232,2.3535,2.3553,2.3778,262144,4.1889,760,318,140,44.012,692.954,273.773,133.645,7,1060,262144,0.032349,65.5313,0,131072,131072,2.0097,2.0485,true,2,1056,262144,0.032227,false,8,2
csg_difference,65,4096,128,2.1997,12.5262,6.2689,1.9981,true,1,128,false,true,true,9902,6014,0.037773,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,9.211,52.375,26.240,2.3490,2.3470,2.3712,262144,4.1812,751,317,151,44.014,692.954,272.891,133.645,7,1060,262144,0.032349,59.0185,0,131072,131072,1.9960,2.0419,true,2,1056,262144,0.032227,false,8,2
thin_plate,65,4096,128,2.0750,12.6517,6.2603,2.0209,true,1,128,false,true,true,6082,2048,0.023201,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,8.690,52.976,26.217,2.3524,2.3521,2.3778,262144,4.1872,790,317,153,44.005,692.954,273.773,133.645,7,1060,262144,0.032349,65.6715,0,131072,131072,2.0207,2.0485,true,2,1056,262144,0.032227,false,8,2
gyroid,65,4096,128,2.4333,11.9657,6.2718,1.9078,true,1,128,false,true,true,24832,21432,0.094727,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,10.187,50.082,26.252,2.2958,2.2958,2.3781,262144,4.1855,679,323,138,44.044,695.751,273.773,133.645,7,1060,262144,0.032349,67.7632,0,131072,131072,1.9078,2.0485,true,2,1056,262144,0.032227,false,8,2
fbm_terrain,65,4096,128,2.2444,12.1544,6.2407,1.9476,true,1,128,false,true,true,12243,8413,0.046703,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,9.395,50.864,26.076,2.3072,2.3109,2.3713,262144,4.1848,751,322,148,44.018,694.087,272.890,133.645,7,1060,262144,0.032349,71.5116,0,131072,131072,1.9506,2.0419,true,2,1056,262144,0.032227,false,8,2
noise_cavity,65,4096,128,2.4700,12.0221,6.2315,1.9292,true,1,128,false,true,true,31545,28375,0.120335,32768,true,4096,false,false,262144,1,262144,true,false,0.000,4.475,4.475,10.337,50.358,26.096,2.3256,2.3258,2.3782,262144,4.1888,643,323,138,44.058,696.589,273.773,133.645,7,1060,262144,0.032349,72.4858,0,131072,131072,1.9297,2.0485,true,2,1056,262144,0.032227,false,8,2
sphere,129,4096,128,2.3133,14.3670,6.9896,2.0555,true,1,128,false,true,true,23258,19232,0.011090,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.680,59.996,29.274,2.3864,2.3801,2.6795,2097152,4.1759,723,259,152,44.006,691.935,314.101,133.646,7,8452,2097152,0.032242,62.3755,0,131072,131072,2.0494,2.3503,false,3,8448,2097152,0.032227,false,64,2
torus,129,4096,128,2.2418,14.6676,7.1797,2.0429,true,1,128,false,true,true,21466,17432,0.010236,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.373,61.400,30.047,2.3552,2.3554,2.6795,2097152,4.1861,751,259,140,44.005,691.631,314.101,133.646,7,8452,2097152,0.032242,68.6247,0,131072,131072,2.0435,2.3503,false,3,8448,2097152,0.032227,false,64,2
box_exact,129,4096,128,2.2334,14.8911,7.0676,2.1070,true,1,128,false,true,true,27834,23816,0.013272,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.349,62.366,29.598,2.4230,2.4230,2.6861,2097152,4.1881,722,258,151,44.006,692.275,314.984,133.646,7,8452,2097152,0.032242,67.7679,0,131072,131072,2.1071,2.3569,false,3,8448,2097152,0.032227,false,64,2
csg_difference,129,4096,128,2.2424,14.6725,7.1717,2.0459,true,1,128,false,true,true,28934,24920,0.013797,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.386,61.420,30.035,2.3586,2.3574,2.6795,2097152,4.1861,712,259,149,44.006,692.275,314.101,133.646,7,8452,2097152,0.032242,61.3100,0,131072,131072,2.0450,2.3503,false,3,8448,2097152,0.032227,false,64,2
thin_plate,129,4096,128,2.1819,14.7269,7.0567,2.0869,true,1,128,false,true,true,12260,8192,0.005846,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.132,61.532,29.543,2.3961,2.3920,2.6861,2097152,4.1782,742,258,154,44.003,691.631,314.984,133.646,7,8452,2097152,0.032242,66.6973,0,131072,131072,2.0828,2.3569,false,3,8448,2097152,0.032227,false,64,2
gyroid,129,4096,128,2.4949,14.9640,7.2039,2.0772,true,1,128,false,true,true,90288,86580,0.043053,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,10.418,62.618,30.146,2.4235,2.4227,2.6863,2097152,4.1846,676,264,138,44.025,693.025,314.984,133.646,7,8452,2097152,0.032242,64.9944,0,131072,131072,2.0772,2.3569,false,3,8448,2097152,0.032227,false,64,2
fbm_terrain,129,4096,128,2.3386,14.5061,7.1266,2.0355,true,1,128,false,true,true,38498,34540,0.018357,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,9.786,60.631,29.848,2.3636,2.3592,2.6796,2097152,4.1797,724,263,148,44.010,694.306,314.101,133.646,7,8452,2097152,0.032242,62.8317,0,131072,131072,2.0313,2.3503,false,3,8448,2097152,0.032227,false,64,2
noise_cavity,129,4096,128,2.5651,14.4076,7.1322,2.0201,true,1,128,false,true,true,122511,118885,0.058418,262144,true,32768,false,false,2097152,2,2097152,true,false,0.000,4.475,4.475,10.728,60.252,29.850,2.3797,2.3779,2.6863,2097152,4.1820,665,266,136,44.030,694.851,314.984,133.646,7,8452,2097152,0.032242,78.4733,0,131072,131072,2.0185,2.3569,false,3,8448,2097152,0.032227,false,64,2
