# experiment P-100 (R-100)
# hypothesis: M-372 FOUND THE OBSTRUCTION AND NAMED IT AS STRUCTURAL. Marching Tetrahedra improves from {6, 12} to a flat 12 OF 48 AND STOPS, because a six-tetrahedron decomposition of a cell is not octahedrally invariant -- its diagonals cut different edges after a relabelling -- and NO PLACEMENT RULE REACHES THAT. That is a statement about the DECOMPOSITION, not about the extractor, and decompositions that are invariant exist: the barycentric (Kuhn/Freudenthal) subdivision into 24 tetrahedra is invariant under the full octahedral group by construction. P-3 already verified that Kuhn tiles face-to-face only if every cell picks the same main diagonal, and M-51 measured classic MT at about 3x the triangles for about 4% worse geometry, so the cost side is known and the question is whether invariance is worth paying for. (C1) A 24-tetrahedron barycentric decomposition reaches 48 OF 48 on all eight fields at both resolutions, where the six-tet split reaches 12. (C2) It costs at most 2x the six-tet split in triangle count -- and since M-51 already measured a 3x penalty over Marching Cubes, the COMBINED penalty must stay under 6x, which is the number a consumer actually pays. (C3) It STILL TILES across chunk seams with zero open edges, which is the property M-132 measured for the subgrid extractor and the reason Marching Tetrahedra is in this crate at all. SHARE: C2 is a triangle count, compared against M-51's already-measured baseline.
# falsified by: C1 by under 48, which would mean the obstruction is not the decomposition and M-372's diagnosis needs revising. C2 by above 2x, which prices invariance out for a game and leaves it a CAD-only option. C3 by any open edge, which kills it outright regardless of C1. VACUITY CONTROL: the six-tet arm must reproduce p-61.csv's flat 12 of 48 before the 24-tet arm is believed, reported side by side.
# commit bd8b134 on amd-ryzen-9-5900x-12-core at 2026-08-28T01:26:32Z
field,resolution,decomposition,tetrahedra_per_cell,elements_vertex_exact,worst_component_ulp,triangles,triangles_vs_six_tet,triangles_vs_marching_cubes,open_edges,seam_configurations,hausdorff,c1_holds,c2_holds,c3_holds,accuracy_degenerate_triangles,accuracy_forward_samples,accuracy_reverse_samples,accuracy_triangles,boundary_open_edges,c1_population,c1_rows_at_48,c1_worst_row,c2_worst_ratio_marching_cubes,c2_worst_ratio_six_tet,c3_open_edges_total,cell_size,cut_edges,cut_edges_p61,elements_tested,elements_triangle_exact,elements_vertex_exact_p61,exact_are_diagonal_stabiliser,first_failing_element,fixture_can_fail,grid_symmetric,hausdorff_field_to_mesh,hausdorff_mesh_to_field,order_sensitive_edges,p61_columns_match,seam_control_open_edges,seam_coords_exact,seam_mesh_identical,triangles_p61,vacuity_mc_rows_at_48,vacuity_six_tet_rows_at_12,vacuity_stabiliser_rows,vertex_failing_labels,vertices,wall_ms
torus,33,marching_cubes,0,48,0,2256,0.329439,1.000000,0,12,0.013788262,true,false,true,0,3384,1524,2256,0,16,16,48,10.557864,2.726437,0,0.125000000,1128,1128,48,1,48,false,none,true,true,0.013788262,0.013079337,152,true,136,true,true,2256,16,32,32,,1128,39
torus,33,six_tet_crate,6,12,9217047455050242256,6848,1.000000,3.035461,0,12,0.019014098,true,false,true,0,10272,1524,6848,0,16,16,48,10.557864,2.726437,0,0.125000000,1128,1128,48,12,12,true,perm=012;sign=-++,true,true,0.018791499,0.019014098,152,true,136,true,true,6848,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3424,96
torus,33,six_tet_bench,6,12,9217047455050242256,6848,1.000000,3.035461,0,12,0.019014098,true,false,true,0,10272,1524,6848,0,16,16,48,10.557864,2.726437,0,0.125000000,1128,,48,12,,true,perm=012;sign=-++,true,true,0.018791499,0.019014098,152,true,136,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,3424,115
torus,33,barycentric_24,24,48,0,16096,2.350467,7.134752,0,12,0.008980723,true,false,true,0,24144,1524,16096,0,16,16,48,10.557864,2.726437,0,0.125000000,1128,,48,6,,false,none,true,true,0.007397631,0.008980723,152,true,136,true,true,,16,32,32,,8048,479
torus,33,barycentric_24_field_sampled,24,48,0,16288,2.378505,7.219858,0,12,0.006293799,true,false,true,0,24432,1524,16288,0,16,16,48,10.557864,2.726437,0,0.125000000,1128,,48,6,,false,none,true,true,0.004413601,0.006293799,152,true,136,true,true,,16,32,32,,8144,606
torus,25,marching_cubes,0,48,0,912,0.314050,1.000000,0,12,0.027648013,true,false,true,0,1368,652,912,0,16,16,48,10.557864,2.726437,0,0.187500000,456,456,48,1,48,false,none,true,true,0.027648013,0.024441711,32,true,80,true,true,912,16,32,32,,456,15
torus,25,six_tet_crate,6,12,9217056838357857152,2904,1.000000,3.184211,0,12,0.033755986,true,false,true,0,4356,652,2904,0,16,16,48,10.557864,2.726437,0,0.187500000,456,456,48,12,12,true,perm=012;sign=-++,true,true,0.030993850,0.033755986,32,true,80,true,true,2904,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1452,39
torus,25,six_tet_bench,6,12,9217056838357857152,2904,1.000000,3.184211,0,12,0.033755986,true,false,true,0,4356,652,2904,0,16,16,48,10.557864,2.726437,0,0.187500000,456,,48,12,,true,perm=012;sign=-++,true,true,0.030993850,0.033755986,32,true,80,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1452,46
torus,25,barycentric_24,24,48,0,7200,2.479339,7.894737,0,12,0.020707873,true,false,true,16,10784,652,7184,0,16,16,48,10.557864,2.726437,0,0.187500000,456,,48,6,,false,none,true,true,0.018539069,0.020707873,32,true,80,true,true,,16,32,32,,3600,207
torus,25,barycentric_24_field_sampled,24,48,0,7200,2.479339,7.894737,0,12,0.011497514,true,false,true,0,10800,652,7200,0,16,16,48,10.557864,2.726437,0,0.187500000,456,,48,6,,false,none,true,true,0.011497514,0.011378156,32,true,80,true,true,,16,32,32,,3600,251
box_exact,33,marching_cubes,0,48,0,2696,0.258238,1.000000,0,8,0.144337567,true,false,true,0,4046,4450,2696,0,16,16,48,10.557864,2.726437,0,0.125000000,1350,1350,48,2,48,false,none,false,true,0.144337567,0.083333333,0,true,3765,true,true,2696,16,32,32,,1350,41
box_exact,33,six_tet_crate,6,12,9214364837600034816,10440,1.000000,3.872404,0,8,0.102062073,true,false,true,7560,8102,4450,2880,3780,16,16,48,10.557864,2.726437,0,0.125000000,1350,1350,48,12,12,true,perm=012;sign=-++,false,true,0.102062073,0.041666667,0,true,219,true,true,10440,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5222,143
box_exact,33,six_tet_bench,6,12,9214364837600034816,10440,1.000000,3.872404,0,8,0.102062073,true,false,true,7560,8102,4450,2880,3780,16,16,48,10.557864,2.726437,0,0.125000000,1350,,48,12,,true,perm=012;sign=-++,false,true,0.102062073,0.041666667,0,true,219,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5222,168
box_exact,33,barycentric_24,24,48,0,28464,2.726437,10.557864,0,8,0.000000000,true,false,true,22320,13448,4450,6144,4410,16,16,48,10.557864,2.726437,0,0.125000000,1350,,48,48,,false,none,false,true,0.000000000,0.000000000,0,true,88,true,true,,16,32,32,,14234,727
box_exact,33,barycentric_24_field_sampled,24,48,0,28464,2.726437,10.557864,0,8,0.000000000,true,false,true,22320,13448,4450,6144,4410,16,16,48,10.557864,2.726437,0,0.125000000,1350,,48,48,,false,none,false,true,0.000000000,0.000000000,0,true,88,true,true,,16,32,32,,14234,867
box_exact,25,marching_cubes,0,48,0,1448,0.261183,1.000000,0,8,0.044194174,true,false,true,0,2174,1460,1448,0,16,16,48,10.557864,2.726437,0,0.187500000,726,726,48,2,48,false,none,false,true,0.044194174,0.041666667,0,true,172,true,true,1448,16,32,32,,726,19
box_exact,25,six_tet_crate,6,12,9214364837600034816,5544,1.000000,3.828729,0,8,0.044194174,true,false,true,0,8318,1460,5544,0,16,16,48,10.557864,2.726437,0,0.187500000,726,726,48,12,12,true,perm=012;sign=-++,false,true,0.044194174,0.025341424,0,true,172,true,true,5544,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,2774,66
box_exact,25,six_tet_bench,6,12,9214364837600034816,5544,1.000000,3.828729,0,8,0.044194174,true,false,true,0,8318,1460,5544,0,16,16,48,10.557864,2.726437,0,0.187500000,726,,48,12,,true,perm=012;sign=-++,false,true,0.044194174,0.025341424,0,true,172,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,2774,80
box_exact,25,barycentric_24,24,48,0,13488,2.432900,9.314917,0,8,0.034429552,true,false,true,0,20234,1460,13488,0,16,16,48,10.557864,2.726437,0,0.187500000,726,,48,6,,false,none,false,true,0.034429552,0.032439136,0,true,172,true,true,,16,32,32,,6746,292
box_exact,25,barycentric_24_field_sampled,24,48,0,13488,2.432900,9.314917,0,8,0.012259526,true,false,true,0,20234,1460,13488,0,16,16,48,10.557864,2.726437,0,0.187500000,726,,48,6,,false,none,false,true,0.010723305,0.012259526,0,true,172,true,true,,16,32,32,,6746,347
csg_difference,33,marching_cubes,0,48,0,2768,0.261824,1.000000,0,9,0.151445478,true,false,true,0,4154,4170,2768,0,16,16,48,10.557864,2.726437,0,0.125000000,1386,1386,48,1,48,false,none,true,true,0.151445478,0.083333333,50,true,3305,true,true,2768,16,32,32,,1386,49
csg_difference,33,six_tet_crate,6,12,9214364837600034816,10572,1.000000,3.819364,0,9,0.102062073,true,false,true,6474,9386,4170,4098,3261,16,16,48,10.557864,2.726437,0,0.125000000,1386,1386,48,12,12,true,perm=012;sign=-++,true,true,0.102062073,0.041666667,50,true,274,true,true,10572,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5288,150
csg_difference,33,six_tet_bench,6,12,9214364837600034816,10572,1.000000,3.819364,0,9,0.102062073,true,false,true,6474,9386,4170,4098,3261,16,16,48,10.557864,2.726437,0,0.125000000,1386,,48,12,,true,perm=012;sign=-++,true,true,0.102062073,0.041666667,50,true,274,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,5288,179
csg_difference,33,barycentric_24,24,48,0,27924,2.641317,10.088150,0,9,0.054373556,true,false,true,19224,16796,4170,8700,3933,16,16,48,10.557864,2.726437,0,0.125000000,1386,,48,6,,false,none,true,true,0.014531229,0.054373556,50,true,158,true,true,,16,32,32,,13964,687
csg_difference,33,barycentric_24_field_sampled,24,48,0,28212,2.668558,10.192197,0,9,0.029981925,true,false,true,19374,17000,4170,8838,3942,16,16,48,10.557864,2.726437,0,0.125000000,1386,,48,6,,false,none,true,true,0.002862438,0.029981925,50,true,158,true,true,,16,32,32,,14108,812
csg_difference,25,marching_cubes,0,48,0,1496,0.266952,1.000000,0,11,0.074710822,true,false,true,0,2246,1412,1496,0,16,16,48,10.557864,2.726437,0,0.187500000,750,750,48,1,48,false,none,true,true,0.074710822,0.041666667,31,true,190,true,true,1496,16,32,32,,750,24
csg_difference,25,six_tet_crate,6,12,9214364837600034816,5604,1.000000,3.745989,0,11,0.083064754,true,false,true,0,8408,1412,5604,0,16,16,48,10.557864,2.726437,0,0.187500000,750,750,48,12,12,true,perm=012;sign=-++,true,true,0.083064754,0.053249329,31,true,190,true,true,5604,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,2804,71
csg_difference,25,six_tet_bench,6,12,9214364837600034816,5604,1.000000,3.745989,0,11,0.083064754,true,false,true,0,8408,1412,5604,0,16,16,48,10.557864,2.726437,0,0.187500000,750,,48,12,,true,perm=012;sign=-++,true,true,0.083064754,0.053249329,31,true,190,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,2804,85
csg_difference,25,barycentric_24,24,48,0,13344,2.381156,8.919786,0,11,0.080049958,true,false,true,0,20018,1412,13344,0,16,16,48,10.557864,2.726437,0,0.187500000,750,,48,6,,false,none,true,true,0.080049958,0.046648696,31,true,190,true,true,,16,32,32,,6674,279
csg_difference,25,barycentric_24_field_sampled,24,48,0,13344,2.381156,8.919786,0,11,0.073466513,true,false,true,0,20018,1412,13344,0,16,16,48,10.557864,2.726437,0,0.187500000,750,,48,6,,false,none,true,true,0.073466513,0.041666667,31,true,190,true,true,,16,32,32,,6674,329
thin_plate,33,marching_cubes,0,48,0,1016,0.265136,1.000000,0,6,0.089267855,true,false,true,0,1526,935,1016,0,16,16,48,10.557864,2.726437,0,0.125000000,510,510,48,4,48,false,none,true,true,0.089267855,0.008333333,450,true,234,true,true,1016,16,32,32,,510,24
thin_plate,33,six_tet_crate,6,12,9214364837600034816,3832,1.000000,3.771654,0,6,0.089267855,true,false,true,112,5638,935,3720,112,16,16,48,10.557864,2.726437,0,0.125000000,510,510,48,12,12,true,perm=012;sign=-++,true,true,0.089267855,0.008333333,450,true,177,true,true,3832,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1918,60
thin_plate,33,six_tet_bench,6,12,9214364837600034816,3832,1.000000,3.771654,0,6,0.089267855,true,false,true,112,5638,935,3720,112,16,16,48,10.557864,2.726437,0,0.125000000,510,,48,12,,true,perm=012;sign=-++,true,true,0.089267855,0.008333333,450,true,177,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1918,71
thin_plate,33,barycentric_24,24,48,0,9488,2.475992,9.338583,0,6,0.012490879,true,false,true,240,13994,935,9248,300,16,16,48,10.557864,2.726437,0,0.125000000,510,,48,12,,false,none,true,true,0.012490879,0.011373874,450,true,234,true,true,,16,32,32,,4746,389
thin_plate,33,barycentric_24_field_sampled,24,48,0,9488,2.475992,9.338583,0,6,0.012376844,true,false,true,240,13994,935,9248,300,16,16,48,10.557864,2.726437,0,0.125000000,510,,48,12,,false,none,true,true,0.012376844,0.008333333,450,true,234,true,true,,16,32,32,,4746,527
thin_plate,25,marching_cubes,0,48,0,568,0.269962,1.000000,0,6,0.076335391,true,false,true,0,854,411,568,0,16,16,48,10.557864,2.726437,0,0.187500000,286,286,48,4,48,false,none,true,true,0.076335391,0.012500000,242,true,92,true,true,568,16,32,32,,286,11
thin_plate,25,six_tet_crate,6,12,9213546001304149272,2104,1.000000,3.704225,0,6,0.076335391,true,false,true,0,3158,411,2104,0,16,16,48,10.557864,2.726437,0,0.187500000,286,286,48,12,12,true,perm=012;sign=-++,true,true,0.076335391,0.012500000,242,true,92,true,true,2104,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1054,29
thin_plate,25,six_tet_bench,6,12,9213546001304149272,2104,1.000000,3.704225,0,6,0.076335391,true,false,true,0,3158,411,2104,0,16,16,48,10.557864,2.726437,0,0.187500000,286,,48,12,,true,perm=012;sign=-++,true,true,0.076335391,0.012500000,242,true,92,true,true,,16,32,32,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,1054,35
thin_plate,25,barycentric_24,24,48,0,5008,2.380228,8.816901,0,6,0.074109953,true,false,true,0,7514,411,5008,0,16,16,48,10.557864,2.726437,0,0.187500000,286,,48,6,,false,none,true,true,0.074109953,0.012500000,242,true,92,true,true,,16,32,32,,2506,177
thin_plate,25,barycentric_24_field_sampled,24,48,0,5008,2.380228,8.816901,0,6,0.059156393,true,false,true,0,7514,411,5008,0,16,16,48,10.557864,2.726437,0,0.187500000,286,,48,6,,false,none,true,true,0.059156393,0.012500000,242,true,92,true,true,,16,32,32,,2506,232
gyroid,33,marching_cubes,0,48,0,10632,0.348682,1.000000,0,12,0.361561125,true,false,true,16,15908,6468,10616,4,16,16,48,10.557864,2.726437,0,0.437500000,5292,5292,48,1,48,false,none,true,true,0.361561125,0.278550720,532,true,555,true,true,10632,16,32,32,,5292,205
