2,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017733680,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.124795224,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
3,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017677307,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.125090705,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
4,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017781999,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.124905227,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
5,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017651876,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.125207747,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
6,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017696381,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.125055513,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
7,0.500000000,4.000000000,class0,true,0.000000,true,false,bit1,none,-1.000000000,1.000000000,none,none,0,10944,false,0.017690447,0.141688453,true,0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000|0.500000000,0.500000000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit1,1e-3,triangle_counts,0.125371976,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,4.000000000,3.858311547
0,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009877099,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.124649179,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
1,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009768592,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.124924427,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
2,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009378221,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.124795224,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
3,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009430779,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.125090705,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
4,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009744432,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.124905227,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
5,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009758843,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.125207747,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
6,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009403229,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.125055513,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
7,0.437500000,3.500000000,class0,true,0.000000,true,false,bit2,none,-1.000000000,1.000000000,none,none,0,10944,false,0.009272257,0.076633453,true,0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000|0.437500000,0.437500000,undefined,0.000000000,0.50,false,false,0,triangle_counts.bit2,1e-3,triangle_counts,0.125371976,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,orbit_equal,33|65,2359296,99932,1,0,3.500000000,3.423366547
0,0.000000000,0.000000000,class0,true,0.000000,true,false,bit3,none,-1.000000000,1.000000000,none,none,0,10944,true,0.000000000,0.000000000,true,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,0.000000000,undefined,0.000000000,0.50,false,true,0,triangle_counts.bit3,1e-3,triangle_counts,0.124649179,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,constant,33|65,2359296,99932,1,0,0.000000000,0.000000000
1,0.000000000,0.000000000,class0,true,0.000000,true,false,bit3,none,-1.000000000,1.000000000,none,none,0,10944,true,0.000000000,0.000000000,true,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,0.000000000,undefined,0.000000000,0.50,false,true,0,triangle_counts.bit3,1e-3,triangle_counts,0.124924427,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,constant,33|65,2359296,99932,1,0,0.000000000,0.000000000
2,0.000000000,0.000000000,class0,true,0.000000,true,false,bit3,none,-1.000000000,1.000000000,none,none,0,10944,true,0.000000000,0.000000000,true,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,0.000000000,undefined,0.000000000,0.50,false,true,0,triangle_counts.bit3,1e-3,triangle_counts,0.124795224,0.124649179|0.124924427|0.124795224|0.125090705|0.124905227|0.125207747|0.125055513|0.125371976,0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000|0.000000000,8,sphere@33|sphere@65|torus@33|torus@65|box_exact@33|box_exact@65|csg_difference@33|csg_difference@65|thin_plate@33|thin_plate@65|gyroid@33|gyroid@65|fbm_terrain@33|fbm_terrain@65|noise_cavity@33|noise_cavity@65,0.005782371,constant,33|65,2359296,99932,1,0,0.000000000,0.000000000
