# experiment P-107 (R-107)
# hypothesis: FLYING EDGES SPENDS A PREFIX-SUM PASS TO TURN PER-ROW COUNTS INTO OUTPUT OFFSETS; A TWO-LEVEL RANK DIRECTORY MAKES THE OFFSET A LOOKUP INSTEAD OF A PASS. The bound available BEFORE the harness, and it is why C1 is checked first: M-135's stage breakdown (docs/measurements/stage_breakdown.csv, columns contour_ms, normals_ms, weld_ms, collider_ms, mean shares 29.0 / 0.4 / 25.5 / 45.0) puts the whole CONTOUR stage at 29%, and the offset work is a fraction of that -- so 5% is reachable but not comfortably. And x54 measured the GPU scan at 4.37% of gpu_total_ms with upload at 87.50%, which is the same quantity on the other path and is BELOW this clause's bar. The GPU figure is not the CPU figure: on the GPU the scan competes with a PCIe upload that dominates the frame, while on the CPU there is no upload at all and the offsets compete only with sampling, interpolation and the emit path -- so the CPU share could legitimately be several times larger, and could equally be smaller because the CPU scan is a sequential add rather than a multi-pass ladder. That is exactly why it is measured rather than inherited. (C1) The offset/compaction stage is at least 5% of CPU extraction, checked first. (C2) A two-level rank directory answers the slot query in O(1) at no more than 3.51% space overhead -- pasta's figure, cross-confirmed in two of the acquired papers -- which is about 1.1 KiB on a 64 cubed chunk's 32 KiB bitmap. (C3) The directory's answers equal the prefix sum's on EVERY cell. SHARE: C1 is the share and it gates the row; if the offset stage is under 5% this is Amdahl-dead the way x51 was, and saying so cheaply is the row's value.
# falsified by: C1 by the offset stage measuring under 5% of extraction, which makes this Amdahl-dead the way x51 was and closes the row before C2 is built. C2 by overhead above 3.51% or by a query that is not O(1) in the bitmap size. C3 by one cell's slot differing from the prefix sum's. VACUITY CONTROL: slots_equal must equal active_cells on every row, and a directory built one level short must give short_directory_mismatches greater than zero, or C3 is an equality between two names for the same computation.
# commit dd8ef7f on amd-ryzen-9-5900x-12-core at 2026-08-29T00:26:48Z
field,resolution,offset_share,directory_bytes,bitmap_bytes,overhead_fraction,slots_equal,active_cells,short_directory_mismatches,ns_per_query_rank,ns_per_query_scan,c1_holds,c2_holds,c3_holds,active_fraction,bitmap_matches_scalar,bitmap_words,c1_holds_dc,c1_holds_instructions,cell_words_per_row,cells,cells_checked,count_ones_per_query_rank,count_ones_per_query_scan,crate_edge_table_bytes,cycles_extract_dc,cycles_extract_mc,cycles_offset,cycles_offset_prepare,cycles_offset_scan,directory_total_equals_popcount,ghz,inner_extract,inner_offset,inner_query,instructions_extract_mc,instructions_offset,instructions_per_query_rank,instructions_per_query_scan,instructions_per_query_sequential,max_words_scanned_rank,max_words_scanned_scan,ns_per_query_sequential,offset_share_dc,offset_share_instructions,offset_share_scan_only,pad_bits_set,query_ratio_instructions,query_ratio_ns,rank_equal_all_bits,sample_bit_row,slot_table_bytes,target_feature_popcnt
box_exact,65,0.006707,1056,32768,0.032227,5768,5768,124928,10.1553,1324.9356,false,true,true,0.022003,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,33873040.6,17162433.2,115109.8,54353.7,60756.1,true,4.1628,5,602,852,42976297.6,200075.9,126.754,19224.969,0.544,7,4090,0.0536,0.003398,0.004655,0.003540,0,151.672,130.468,262144,2,1048576,false
csg_difference,65,0.006674,1056,32768,0.032227,6014,6014,124928,10.2053,1334.1209,false,true,true,0.022942,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,41242785.4,18952443.7,126497.9,54271.9,72226.0,true,4.0824,7,824,1322,47153754.7,201511.3,127.637,19224.970,0.550,7,4090,0.0629,0.003067,0.004273,0.003811,0,150.622,130.728,262144,2,1048576,false
thin_plate,65,0.005959,1056,32768,0.032227,2048,2048,122880,10.0969,1543.2790,false,true,true,0.007812,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,21964461.2,17128770.6,102065.4,54756.8,47308.6,true,4.1696,5,353,864,41186974.2,156093.9,128.492,21286.422,0.377,7,4090,0.0436,0.004647,0.003790,0.002762,0,165.664,152.847,262144,2,1048576,false
gyroid,65,0.002876,1056,32768,0.032227,21432,21432,237056,9.9234,1454.4223,false,true,true,0.081757,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,205818106.5,61219687.0,176086.0,54911.6,121174.4,true,4.0529,2,332,870,124885754.5,363207.2,128.492,21286.424,1.167,7,4090,0.1438,0.000856,0.002908,0.001979,0,165.664,146.565,262144,2,1048576,false
fbm_terrain,65,0.000348,1056,32768,0.032227,8413,8413,245760,6.1789,1313.7326,false,true,true,0.032093,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,378933806.0,274268867.0,95459.4,50552.7,44906.7,true,4.1534,1,738,1234,893379655.0,230463.6,129.868,21286.426,0.645,7,4090,0.0622,0.000252,0.000258,0.000164,0,163.909,212.617,262144,2,1048576,false
noise_cavity,65,0.001680,1056,32768,0.032227,28375,28375,189440,8.6324,1423.2355,false,true,true,0.108242,true,4096,false,false,1,262144,262144,4.566,2069.836,3295500,323886530.0,113977744.0,191442.1,53965.9,137476.2,true,4.0555,1,324,889,288155840.0,428399.6,131.868,21286.426,1.415,7,4090,0.1341,0.000591,0.001487,0.001206,0,161.423,164.872,262144,2,1048576,false
sphere,129,0.006745,8448,262144,0.032227,19232,19232,880640,10.7264,9569.5492,false,true,true,0.009171,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,224352468.0,110712869.0,746722.1,471560.8,275161.3,true,1.6547,1,70,1227,276860428.0,1149919.9,127.262,150429.033,0.330,7,32746,0.0546,0.003328,0.004153,0.002485,0,1182.041,892.153,2097152,3,8388608,false
torus,129,0.006294,8448,262144,0.032227,17432,17432,1072640,6.6410,9179.0225,false,true,true,0.008312,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,181311654.0,96882334.0,609797.5,454128.1,155669.4,true,1.3077,1,36,720,282478569.0,1111320.7,127.262,150429.034,0.311,7,32746,0.0452,0.003363,0.003934,0.001607,0,1182.039,1382.167,2097152,3,8388608,false
box_exact,129,0.006974,8448,262144,0.032227,23816,23816,901120,6.6587,7997.2046,false,true,true,0.011356,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,121057281.5,83498526.0,582288.5,416844.0,165444.5,true,4.1732,2,124,1229,330214637.0,1213078.9,126.754,150427.007,0.360,7,32746,0.0197,0.004810,0.003674,0.001981,0,1186.766,1201.007,2097152,3,8388608,false
csg_difference,129,0.005940,8448,262144,0.032227,24920,24920,901120,6.8080,9619.1247,false,true,true,0.011883,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,159302922.0,108538463.0,644752.6,434326.2,210426.4,true,1.6238,1,104,1232,357645345.0,1212409.7,127.637,150427.030,0.359,7,32746,0.0336,0.004047,0.003390,0.001939,0,1178.553,1412.911,2097152,3,8388608,false
thin_plate,129,0.006977,8448,262144,0.032227,8192,8192,786432,10.9673,10774.9345,false,true,true,0.003906,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,117755137.0,94999282.0,662812.1,455192.4,207619.7,true,1.4081,1,130,1239,322708410.0,1001045.6,128.492,166672.475,0.259,7,32746,0.0139,0.005629,0.003102,0.002185,0,1297.147,982.457,2097152,3,8388608,false
gyroid,129,0.002764,8448,262144,0.032227,86580,86580,1651200,6.9379,9017.9328,false,true,true,0.041285,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,692971484.0,353949527.0,978446.2,436781.2,541665.0,true,3.4310,1,56,679,895381281.0,1885266.8,128.492,166672.452,0.680,7,32746,0.0657,0.001412,0.002106,0.001530,0,1297.144,1299.809,2097152,3,8388608,false
fbm_terrain,129,0.000328,8448,262144,0.032227,34540,34540,1611264,6.6589,8422.5860,false,true,true,0.016470,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,2149176486.0,1893251525.0,620071.5,378341.2,241730.2,true,4.1510,1,84,1231,6869468171.0,1329792.5,129.868,166672.450,0.408,7,32746,0.0234,0.000289,0.000194,0.000128,0,1283.404,1264.864,2097152,3,8388608,false
noise_cavity,129,0.001972,8448,262144,0.032227,118885,118885,1399296,6.8364,10055.4861,false,true,true,0.056689,true,32768,false,false,2,2097152,2097152,4.566,16253.836,25760268,1275458001.0,614742735.0,1212078.0,432542.0,779536.0,true,4.1798,1,66,1224,2078177682.0,2196690.2,131.868,166672.454,0.829,7,32746,0.0880,0.000950,0.001057,0.001268,0,1263.939,1470.878,2097152,3,8388608,false
