# experiment P-99 (R-099)
# hypothesis: x53 FALSIFIED ALL THREE CLAUSES AND SAID WHAT THE NEXT REGISTRATION SHOULD BE ABOUT. Two candidate reformulations survive the data: the non-monotonic rate AMONG SINGLE-ROOT EDGES -- which ranks thin_plate first and is the only quantity in the run that fails to converge -- and the false-negative count at fixed k, which needs the oracle and is therefore offline. The entry registers neither on purpose: 'Neither is registered, so neither is claimed.' x53's two registration defects are both corrected here rather than repeated: C2's second half asked for a false-positive rate that FALLS with k, which is mechanically impossible because adding a sample point can only add an opportunity to disagree; and C3's metric was taken over ALL grid edges, so it measured how much of the VOLUME has turning gradient rather than how badly the SURFACE is under-resolved, which is why thin_plate -- a thin plate in a mostly-empty box -- ranked eighth. (C1) The non-monotonic rate among SINGLE-ROOT edges ranks thin_plate FIRST of eight at 33^3 and 65^3, where the all-edges rate ranked it eighth. (C2) It FAILS TO CONVERGE on thin_plate and converges on the other seven, reproducing x53's observation that thin_plate's false-positive rate is the only one that rises with resolution (0.3889, 0.4412, 0.4697). That non-convergence is the signal an LOD decision wants. (C3) THE CLAUSE x53 GOT BACKWARDS, STATED CORRECTLY: false NEGATIVES fall with k -- 322, 94, 8, 1, 0 at k in {2,3,5,9,17} -- and false positives are monotone NON-DECREASING in k by construction. Both are asserted in the direction the predicate's form allows. SHARE: this is a rate; it moves nothing and gates the LOD decision M-121 and M-72 both want an input for.
# falsified by: C1 by any other ranking, which would mean the denominator was not the problem and the whole witness family is measuring the volume rather than the surface. C2 by convergence on thin_plate, or by non- convergence on a second field. C3 by a non-monotone false-positive count, which would mean the implementation is not the predicate. VACUITY CONTROL: x53's oracle_samples column is inherited -- 128 intervals -- and the caveat with it: a root pair inside one interval is invisible to both instruments and cannot produce a false negative here, but also cannot be ruled out.
# commit a6a3ed3 on amd-ryzen-9-5900x-12-core at 2026-08-28T00:28:36Z
field,resolution,k,single_root_edges,multi_root_edges,non_monotonic_single_root,rate_single_root,rate_all_edges,rank_single_root,rank_all_edges,converges,false_negatives,false_positives,oracle_samples,c1_holds,c2_holds,c3_holds,converges_strictly,edges,flag_dropped_at_higher_k,flagged_non_monotonic,fn_non_increasing_with_k,fp_moves_with_k,fp_non_decreasing_with_k,nm_single_root_axis_x,nm_single_root_axis_y,nm_single_root_axis_z,non_monotonic_sign_change,oracle_parity_violations,rank1_strict_single_root,rank_sign_change,rate_ever_nonzero,rate_sign_change,sign_change_edges
gyroid,17,3,1260,60,147,0.116667,0.151168,4,2,true,0,147,128,true,true,true,true,13872,0,2097,true,false,true,49,49,49,147,0,true,4,true,0.116667,1260
gyroid,17,5,1260,60,147,0.116667,0.152465,4,3,true,0,147,128,true,true,true,true,13872,0,2115,true,false,true,49,49,49,147,0,true,4,true,0.116667,1260
gyroid,17,9,1260,60,147,0.116667,0.152682,4,3,true,0,147,128,true,true,true,true,13872,0,2118,true,false,true,49,49,49,147,0,true,4,true,0.116667,1260
gyroid,17,17,1260,60,147,0.116667,0.153114,4,3,true,0,147,128,true,true,true,true,13872,0,2124,true,false,true,49,49,49,147,0,true,4,true,0.116667,1260
fbm_terrain,17,2,520,46,103,0.198077,0.346814,3,1,true,12,103,128,true,true,true,true,13872,0,4811,true,true,true,48,0,55,103,0,true,3,true,0.196190,525
fbm_terrain,17,3,520,46,135,0.259615,0.486520,3,1,true,4,135,128,true,true,true,true,13872,0,6749,true,true,true,57,0,78,138,0,true,3,true,0.262857,525
fbm_terrain,17,5,520,46,154,0.296154,0.544118,3,1,true,0,154,128,true,true,true,true,13872,0,7548,true,true,true,70,0,84,159,0,true,3,true,0.302857,525
fbm_terrain,17,9,520,46,162,0.311538,0.567402,3,1,true,0,162,128,true,true,true,true,13872,0,7871,true,true,true,73,0,89,167,0,true,3,true,0.318095,525
fbm_terrain,17,17,520,46,164,0.315385,0.573529,3,1,true,0,164,128,true,true,true,true,13872,0,7956,true,true,true,75,0,89,169,0,true,3,true,0.321905,525
noise_cavity,17,2,1232,323,449,0.364448,0.092633,2,3,true,160,449,128,true,true,true,true,13872,0,1285,true,true,true,157,155,137,449,0,true,2,true,0.359200,1250
noise_cavity,17,3,1232,323,611,0.495942,0.137399,1,3,true,52,611,128,true,true,true,true,13872,0,1906,true,true,true,204,204,203,620,0,true,1,true,0.496000,1250
noise_cavity,17,5,1232,323,660,0.535714,0.154844,1,2,true,5,660,128,true,true,true,true,13872,0,2148,true,true,true,216,223,221,674,0,true,1,true,0.539200,1250
noise_cavity,17,9,1232,323,684,0.555195,0.161332,1,2,true,1,684,128,true,true,true,true,13872,0,2238,true,true,true,222,236,226,701,0,true,1,true,0.560800,1250
noise_cavity,17,17,1232,323,692,0.561688,0.164144,1,2,true,0,692,128,true,true,true,true,13872,0,2277,true,true,true,226,237,229,710,0,true,1,true,0.568000,1250
sphere,33,2,1158,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,104544,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,1158
sphere,33,3,1158,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,104544,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,1158
sphere,33,5,1158,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,104544,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,1158
sphere,33,9,1158,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,104544,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,1158
sphere,33,17,1158,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,104544,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,1158
torus,33,2,1128,0,0,0.000000,0.017677,6,4,true,0,0,128,true,true,true,false,104544,0,1848,true,false,true,0,0,0,0,0,true,6,true,0.000000,1128
torus,33,3,1128,0,0,0.000000,0.017677,6,4,true,0,0,128,true,true,true,false,104544,0,1848,true,false,true,0,0,0,0,0,true,6,true,0.000000,1128
torus,33,5,1128,0,0,0.000000,0.017677,6,4,true,0,0,128,true,true,true,false,104544,0,1848,true,false,true,0,0,0,0,0,true,6,true,0.000000,1128
torus,33,9,1128,0,0,0.000000,0.017677,6,4,true,0,0,128,true,true,true,false,104544,0,1848,true,false,true,0,0,0,0,0,true,6,true,0.000000,1128
torus,33,17,1128,0,0,0.000000,0.017677,6,4,true,0,0,128,true,true,true,false,104544,0,1848,true,false,true,0,0,0,0,0,true,6,true,0.000000,1128
box_exact,33,2,1350,0,0,0.000000,0.000010,6,7,true,0,0,128,true,true,true,false,104544,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,1350
box_exact,33,3,1350,0,0,0.000000,0.000010,6,7,true,0,0,128,true,true,true,false,104544,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,1350
box_exact,33,5,1350,0,0,0.000000,0.000010,6,7,true,0,0,128,true,true,true,false,104544,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,1350
box_exact,33,9,1350,0,0,0.000000,0.000010,6,7,true,0,0,128,true,true,true,false,104544,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,1350
box_exact,33,17,1350,0,0,0.000000,0.000010,6,7,true,0,0,128,true,true,true,false,104544,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,1350
csg_difference,33,2,1386,21,42,0.030303,0.009211,5,5,true,0,42,128,true,true,true,true,104544,0,963,true,false,true,14,14,14,42,0,true,5,true,0.030303,1386
csg_difference,33,3,1386,21,42,0.030303,0.009211,5,5,true,0,42,128,true,true,true,true,104544,0,963,true,false,true,14,14,14,42,0,true,5,true,0.030303,1386
csg_difference,33,5,1386,21,42,0.030303,0.009211,5,5,true,0,42,128,true,true,true,true,104544,0,963,true,false,true,14,14,14,42,0,true,5,true,0.030303,1386
csg_difference,33,9,1386,21,42,0.030303,0.009211,5,5,true,0,42,128,true,true,true,true,104544,0,963,true,false,true,14,14,14,42,0,true,5,true,0.030303,1386
csg_difference,33,17,1386,21,42,0.030303,0.009269,5,5,true,0,42,128,true,true,true,true,104544,0,969,true,false,true,14,14,14,42,0,true,5,true,0.030303,1386
thin_plate,33,2,510,0,225,0.441176,0.002152,1,6,false,0,225,128,true,true,true,false,104544,0,225,true,false,true,0,225,0,225,0,true,1,true,0.441176,510
thin_plate,33,3,510,0,225,0.441176,0.002152,1,6,false,0,225,128,true,true,true,false,104544,0,225,true,false,true,0,225,0,225,0,true,1,true,0.441176,510
thin_plate,33,5,510,0,225,0.441176,0.002152,1,6,false,0,225,128,true,true,true,false,104544,0,225,true,false,true,0,225,0,225,0,true,1,true,0.441176,510
thin_plate,33,9,510,0,225,0.441176,0.002152,1,6,false,0,225,128,true,true,true,false,104544,0,225,true,false,true,0,225,0,225,0,true,1,true,0.441176,510
thin_plate,33,17,510,0,225,0.441176,0.002152,1,6,false,0,225,128,true,true,true,false,104544,0,225,true,false,true,0,225,0,225,0,true,1,true,0.441176,510
gyroid,33,2,5292,108,267,0.050454,0.082214,4,3,true,0,267,128,true,true,true,true,104544,0,8595,true,true,true,89,89,89,267,0,true,4,true,0.050454,5292
gyroid,33,3,5292,108,270,0.051020,0.082874,4,3,true,0,270,128,true,true,true,true,104544,0,8664,true,true,true,90,90,90,270,0,true,4,true,0.051020,5292
gyroid,33,5,5292,108,273,0.051587,0.083247,4,3,true,0,273,128,true,true,true,true,104544,0,8703,true,true,true,91,91,91,273,0,true,4,true,0.051587,5292
gyroid,33,9,5292,108,276,0.052154,0.083448,4,3,true,0,276,128,true,true,true,true,104544,0,8724,true,true,true,92,92,92,276,0,true,4,true,0.052154,5292
gyroid,33,17,5292,108,276,0.052154,0.083534,4,3,true,0,276,128,true,true,true,true,104544,0,8733,true,true,true,92,92,92,276,0,true,4,true,0.052154,5292
fbm_terrain,33,2,2065,97,320,0.154964,0.305871,3,1,true,18,320,128,true,true,true,true,104544,0,31977,true,true,true,150,0,170,320,0,true,3,true,0.154664,2069
fbm_terrain,33,3,2065,97,355,0.171913,0.388258,3,1,true,4,355,128,true,true,true,true,104544,0,40590,true,true,true,168,0,187,358,0,true,3,true,0.173030,2069
fbm_terrain,33,5,2065,97,396,0.191768,0.421086,3,1,true,0,396,128,true,true,true,true,104544,0,44022,true,true,true,181,0,215,400,0,true,3,true,0.193330,2069
fbm_terrain,33,9,2065,97,402,0.194673,0.425821,3,1,true,0,402,128,true,true,true,true,104544,0,44517,true,true,true,183,0,219,406,0,true,3,true,0.196230,2069
fbm_terrain,33,17,2065,97,404,0.195642,0.427083,3,1,true,0,404,128,true,true,true,true,104544,0,44649,true,true,true,185,0,219,408,0,true,3,true,0.197197,2069
noise_cavity,33,2,6502,504,2042,0.314057,0.094582,2,2,true,95,2042,128,true,true,true,true,104544,0,9888,true,true,true,660,709,673,2042,0,true,2,true,0.313094,6522
noise_cavity,33,3,6502,504,2210,0.339895,0.105678,2,2,true,28,2210,128,true,true,true,true,104544,0,11048,true,true,true,714,770,726,2224,0,true,2,true,0.341000,6522
noise_cavity,33,5,6502,504,2245,0.345278,0.109198,2,2,true,2,2245,128,true,true,true,true,104544,0,11416,true,true,true,726,784,735,2264,0,true,2,true,0.347133,6522
noise_cavity,33,9,6502,504,2258,0.347278,0.110547,2,2,true,0,2258,128,true,true,true,true,104544,0,11557,true,true,true,732,787,739,2278,0,true,2,true,0.349279,6522
noise_cavity,33,17,6502,504,2261,0.347739,0.110949,2,2,true,0,2261,128,true,true,true,true,104544,0,11599,true,true,true,734,788,739,2281,0,true,2,true,0.349739,6522
sphere,65,2,4758,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,811200,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,4758
sphere,65,3,4758,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,811200,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,4758
sphere,65,5,4758,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,811200,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,4758
sphere,65,9,4758,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,811200,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,4758
sphere,65,17,4758,0,0,0.000000,0.000000,6,8,true,0,0,128,true,true,true,false,811200,0,0,true,false,true,0,0,0,0,0,true,6,false,0.000000,4758
torus,65,2,4208,0,0,0.000000,0.009615,6,4,true,0,0,128,true,true,true,false,811200,0,7800,true,false,true,0,0,0,0,0,true,6,true,0.000000,4208
torus,65,3,4208,0,0,0.000000,0.009615,6,4,true,0,0,128,true,true,true,false,811200,0,7800,true,false,true,0,0,0,0,0,true,6,true,0.000000,4208
torus,65,5,4208,0,0,0.000000,0.009615,6,4,true,0,0,128,true,true,true,false,811200,0,7800,true,false,true,0,0,0,0,0,true,6,true,0.000000,4208
torus,65,9,4208,0,0,0.000000,0.009615,6,4,true,0,0,128,true,true,true,false,811200,0,7800,true,false,true,0,0,0,0,0,true,6,true,0.000000,4208
torus,65,17,4208,0,0,0.000000,0.009615,6,4,true,0,0,128,true,true,true,false,811200,0,7800,true,false,true,0,0,0,0,0,true,6,true,0.000000,4208
box_exact,65,2,5766,0,0,0.000000,0.000001,6,7,true,0,0,128,true,true,true,false,811200,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,5766
box_exact,65,3,5766,0,0,0.000000,0.000001,6,7,true,0,0,128,true,true,true,false,811200,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,5766
box_exact,65,5,5766,0,0,0.000000,0.000001,6,7,true,0,0,128,true,true,true,false,811200,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,5766
box_exact,65,9,5766,0,0,0.000000,0.000001,6,7,true,0,0,128,true,true,true,false,811200,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,5766
box_exact,65,17,5766,0,0,0.000000,0.000001,6,7,true,0,0,128,true,true,true,false,811200,0,1,true,false,true,0,0,0,0,0,true,6,false,0.000000,5766
csg_difference,65,2,6012,48,105,0.017465,0.004633,5,5,true,0,105,128,true,true,true,true,811200,0,3758,true,false,true,35,35,35,105,0,true,5,true,0.017465,6012
csg_difference,65,3,6012,48,105,0.017465,0.004647,5,5,true,0,105,128,true,true,true,true,811200,0,3770,true,false,true,35,35,35,105,0,true,5,true,0.017465,6012
csg_difference,65,5,6012,48,105,0.017465,0.004662,5,5,true,0,105,128,true,true,true,true,811200,0,3782,true,false,true,35,35,35,105,0,true,5,true,0.017465,6012
csg_difference,65,9,6012,48,105,0.017465,0.004677,5,5,true,0,105,128,true,true,true,true,811200,0,3794,true,false,true,35,35,35,105,0,true,5,true,0.017465,6012
csg_difference,65,17,6012,48,105,0.017465,0.004677,5,5,true,0,105,128,true,true,true,true,811200,0,3794,true,false,true,35,35,35,105,0,true,5,true,0.017465,6012
thin_plate,65,2,2046,0,961,0.469697,0.001185,1,6,false,0,961,128,true,true,true,false,811200,0,961,true,false,true,0,961,0,961,0,true,1,true,0.469697,2046
thin_plate,65,3,2046,0,961,0.469697,0.001185,1,6,false,0,961,128,true,true,true,false,811200,0,961,true,false,true,0,961,0,961,0,true,1,true,0.469697,2046
thin_plate,65,5,2046,0,961,0.469697,0.001185,1,6,false,0,961,128,true,true,true,false,811200,0,961,true,false,true,0,961,0,961,0,true,1,true,0.469697,2046
thin_plate,65,9,2046,0,961,0.469697,0.001185,1,6,false,0,961,128,true,true,true,false,811200,0,961,true,false,true,0,961,0,961,0,true,1,true,0.469697,2046
thin_plate,65,17,2046,0,961,0.469697,0.001185,1,6,false,0,961,128,true,true,true,false,811200,0,961,true,false,true,0,961,0,961,0,true,1,true,0.469697,2046
gyroid,65,2,21534,114,576,0.026748,0.042981,4,3,true,0,576,128,true,true,true,true,811200,0,34866,true,true,true,192,192,192,576,0,true,4,true,0.026748,21534
gyroid,65,3,21534,114,576,0.026748,0.043140,4,3,true,0,576,128,true,true,true,true,811200,0,34995,true,true,true,192,192,192,576,0,true,4,true,0.026748,21534
gyroid,65,5,21534,114,579,0.026888,0.043225,4,3,true,0,579,128,true,true,true,true,811200,0,35064,true,true,true,193,193,193,579,0,true,4,true,0.026888,21534
gyroid,65,9,21534,114,582,0.027027,0.043280,4,3,true,0,582,128,true,true,true,true,811200,0,35109,true,true,true,194,194,194,582,0,true,4,true,0.027027,21534
gyroid,65,17,21534,114,582,0.027027,0.043303,4,3,true,0,582,128,true,true,true,true,811200,0,35127,true,true,true,194,194,194,582,0,true,4,true,0.027027,21534
fbm_terrain,65,2,8637,147,719,0.083246,0.229888,3,1,true,7,719,128,true,true,true,true,811200,0,186485,true,true,true,376,0,343,719,0,true,3,true,0.083237,8638
fbm_terrain,65,3,8637,147,738,0.085446,0.250721,3,1,true,0,738,128,true,true,true,true,811200,0,203385,true,true,true,383,0,355,739,0,true,3,true,0.085552,8638
fbm_terrain,65,5,8637,147,749,0.086720,0.255369,3,1,true,0,749,128,true,true,true,true,811200,0,207155,true,true,true,391,0,358,750,0,true,3,true,0.086826,8638
fbm_terrain,65,9,8637,147,751,0.086951,0.256571,3,1,true,0,751,128,true,true,true,true,811200,0,208130,true,true,true,392,0,359,752,0,true,3,true,0.087057,8638
fbm_terrain,65,17,8637,147,753,0.087183,0.257051,3,1,true,0,753,128,true,true,true,true,811200,0,208520,true,true,true,392,0,361,754,0,true,3,true,0.087289,8638
noise_cavity,65,2,28876,698,3844,0.133121,0.059572,2,2,true,30,3844,128,true,true,true,true,811200,0,48325,true,true,true,1280,1302,1262,3844,0,true,2,true,0.133093,28882
noise_cavity,65,3,28876,698,3926,0.135961,0.061628,2,2,true,6,3926,128,true,true,true,true,811200,0,49993,true,true,true,1305,1335,1286,3928,0,true,2,true,0.136002,28882
noise_cavity,65,5,28876,698,3943,0.136549,0.062366,2,2,true,1,3943,128,true,true,true,true,811200,0,50591,true,true,true,1312,1340,1291,3948,0,true,2,true,0.136694,28882
noise_cavity,65,9,28876,698,3956,0.137000,0.062629,2,2,true,0,3956,128,true,true,true,true,811200,0,50805,true,true,true,1320,1344,1292,3962,0,true,2,true,0.137179,28882
noise_cavity,65,17,28876,698,3960,0.137138,0.062722,2,2,true,0,3960,128,true,true,true,true,811200,0,50880,true,true,true,1321,1345,1294,3966,0,true,2,true,0.137317,28882
