csg_difference,marching_cubes,33,4152,951,229.046243,3,1e-12,951,951,1.250000e-1,false,true,0.125000000,true,0,8304,13,628955,951,0,13,13,13,10113,false,sphere,false,2.4357,2,4.845179e-15,4.845179e-3,2.665542e-16,2.665542e-4,3.469447e-18,1902,0,1,1,1,229.046243,229.046243,229.046243,true,305853,73.66,coef*(|f(a)|+|f(b)|),2768,1.000000,1.000000,7299
csg_difference,marching_cubes,65,18030,3359,186.300610,3,1e-12,3359,3359,6.250000e-2,false,true,0.062500000,true,0,36060,23,4615827,3359,0,23,23,19,43509,false,sphere,false,2.4131,2,1.259387e-15,1.259387e-3,6.383655e-17,6.383655e-5,6.245005e-17,6718,0,4,4,0,186.300610,186.300610,186.300610,true,1298821,72.04,coef*(|f(a)|+|f(b)|),12020,1.000000,1.000000,33346
csg_difference,marching_cubes,129,74748,12507,167.322203,3,1e-12,12507,12507,3.125000e-2,false,true,0.031250000,true,0,149496,60,30182127,12507,0,60,57,47,179454,false,sphere,false,2.4008,2,3.067623e-16,3.067623e-4,1.648083e-17,1.648083e-5,6.505213e-19,25014,0,13,10,0,167.322203,167.322203,167.322203,true,5720737,76.53,coef*(|f(a)|+|f(b)|),49832,1.000000,1.000000,142310
thin_plate,marching_cubes,17,372,108,290.322581,3,1e-12,108,108,2.500000e-1,false,true,0.250000000,true,0,744,120,52841,108,0,276,276,276,924,true,sphere,false,2.4839,2,2.081668e-29,2.081668e-17,8.169988e-30,8.169988e-18,1.250000e-2,216,0,0,0,0,290.322581,290.322581,290.322581,true,23210,62.39,coef*(|f(a)|+|f(b)|),248,1.000000,1.000000,604
thin_plate,marching_cubes,33,1524,236,154.855643,3,1e-12,236,236,1.250000e-1,false,true,0.125000000,true,0,3048,616,508034,236,0,1428,1428,1428,3676,true,sphere,false,2.4121,2,6.938894e-30,6.938894e-18,3.068776e-30,3.068776e-18,1.250000e-2,472,0,0,0,0,154.855643,154.855643,154.855643,true,88221,57.89,coef*(|f(a)|+|f(b)|),1016,1.000000,1.000000,2972
thin_plate,marching_cubes,65,6132,492,80.234834,3,1e-12,492,492,6.250000e-2,false,true,0.062500000,true,0,12264,2760,3946132,492,0,6420,6420,6420,14556,true,sphere,false,2.3738,2,6.938894e-30,6.938894e-18,3.261235e-30,3.261235e-18,1.250000e-2,984,0,0,0,0,80.234834,80.234834,80.234834,true,344953,56.25,coef*(|f(a)|+|f(b)|),4088,1.000000,1.000000,13084
thin_plate,marching_cubes,129,24564,1004,40.872822,3,1e-12,1004,1004,3.125000e-2,false,true,0.031250000,true,0,49128,0,24390660,1004,0,0,0,0,57820,true,sphere,false,2.3539,2,0.000000e0,0.000000e0,0.000000e0,0.000000e0,1.250000e-2,2008,0,0,0,0,40.872822,40.872822,40.872822,true,1355701,55.19,coef*(|f(a)|+|f(b)|),16376,1.000000,1.000000,54812
gyroid,marching_cubes,17,3799,3088,812.845486,3,1e-12,3088,3088,1.112812e0,false,false,0.875000000,true,1,7608,14,436304,2961,127,14,14,14,9926,false,sphere,false,2.6128,2,4.611591e-13,4.611591e-1,5.210343e-14,5.210343e-2,1.110223e-16,6182,0,4,4,4,812.845486,812.845486,812.845486,false,1175490,309.42,coef*(|f(a)|+|f(b)|),2536,1.271786,0.573998,12
gyroid,marching_cubes,33,15943,12622,791.695415,3,1e-12,12622,12622,5.865565e-1,false,false,0.437500000,true,1,31896,51,2264168,12384,238,51,51,51,41951,false,sphere,false,2.6313,2,2.374027e-13,2.374027e-1,1.275100e-14,1.275100e-2,2.775558e-17,25250,0,6,6,6,791.695415,791.695415,791.695415,false,4555907,285.76,coef*(|f(a)|+|f(b)|),10632,1.340701,0.925006,47
gyroid,marching_cubes,65,64669,52481,811.532574,3,1e-12,52481,52481,3.431047e-1,false,false,0.218750000,true,1,129348,180,13853703,52172,309,180,180,174,170300,false,sphere,false,2.6334,2,2.221339e-13,2.221339e-1,3.499751e-15,3.499751e-3,2.220446e-16,104968,0,6,6,0,811.532574,811.532574,811.532574,false,17356152,268.38,coef*(|f(a)|+|f(b)|),43116,1.568479,0.897926,176
gyroid,marching_cubes,129,260077,212739,817.984674,3,1e-12,212739,212733,1.556678e-1,false,false,0.109375000,false,1,520164,342,103095533,212264,475,342,330,330,686042,false,sphere,false,2.6378,2,7.149157e-14,7.149157e-2,7.855969e-16,7.855969e-4,9.020562e-17,425484,0,12,0,0,817.961604,817.984674,817.984674,false,67780724,260.62,coef*(|f(a)|+|f(b)|),173388,1.423248,0.788084,332
fbm_terrain,marching_cubes,17,1480,1070,722.972973,3,1e-12,1070,1070,1.705241e0,false,false,1.000000000,true,0,2868,0,1003369,778,292,0,0,0,3914,true,sphere,false,2.6446,2,5.732792e-13,5.732792e-1,7.360128e-14,7.360128e-2,2.722571e-6,2075,0,0,0,0,722.972973,722.972973,722.972973,false,1299091,877.76,coef*(|f(a)|+|f(b)|),956,1.705241,0.712875,0
fbm_terrain,marching_cubes,33,6014,4809,799.634187,3,1e-12,4809,4809,8.097658e-1,false,false,0.500000000,true,0,11838,0,7032777,3494,1315,0,0,0,15906,true,sphere,false,2.6448,2,3.809531e-13,3.809531e-1,3.998494e-14,3.998494e-2,7.368970e-7,9481,0,0,0,0,799.634187,799.634187,799.634187,false,5164072,858.68,coef*(|f(a)|+|f(b)|),3946,1.619532,0.926733,0
fbm_terrain,marching_cubes,65,25521,19964,782.257749,3,1e-12,19964,19964,4.656747e-1,false,false,0.250000000,true,0,50652,0,51708723,16351,3613,0,0,0,67299,true,sphere,false,2.6370,2,1.230695e-13,1.230695e-1,1.399922e-14,1.399922e-2,1.547416e-7,39648,0,0,0,0,782.257749,782.257749,782.257749,false,21545926,844.24,coef*(|f(a)|+|f(b)|),16884,1.862699,0.952969,0
fbm_terrain,marching_cubes,129,104092,79583,764.544826,3,1e-12,79583,79583,1.716212e-1,false,false,0.125000000,true,0,207396,0,390302681,72731,6852,0,0,0,274671,true,sphere,false,2.6387,2,4.322292e-14,4.322292e-2,3.972992e-15,3.972992e-3,3.079177e-9,158626,0,0,0,0,764.544826,764.544826,764.544826,false,87488796,840.49,coef*(|f(a)|+|f(b)|),69132,1.372970,0.988753,0
noise_cavity,marching_cubes,17,3774,2688,712.241653,3,1e-12,2688,2688,1.718795e0,false,false,0.250000000,true,18,7680,14,457364,2238,450,14,14,14,9862,false,sphere,false,2.6131,2,7.631692e-13,7.631692e-1,1.227381e-13,1.227381e-1,1.387779e-17,5462,0,6,6,6,712.241653,712.241653,712.241653,false,1300620,344.63,coef*(|f(a)|+|f(b)|),2560,6.875179,0.891092,44
noise_cavity,marching_cubes,33,19771,14814,749.279247,3,1e-12,14814,14814,9.979932e-1,false,false,0.125000000,true,20,39708,92,2992355,13344,1470,95,95,95,51982,true,sphere,false,2.6292,2,3.230430e-13,3.230430e-1,4.966879e-14,4.966879e-2,1.883890e-7,29736,0,0,0,0,749.279247,749.279247,749.279247,false,6730315,340.41,coef*(|f(a)|+|f(b)|),13236,7.983946,0.967473,135
noise_cavity,marching_cubes,65,87077,67120,770.812040,3,1e-12,67120,67120,4.674924e-1,false,false,0.062500000,true,20,174336,204,19418179,64230,2890,216,216,212,230569,false,sphere,false,2.6479,2,2.008356e-13,2.008356e-1,1.536084e-14,1.536084e-2,6.449909e-17,134350,0,4,4,0,770.812040,770.812040,770.812040,false,29436421,338.05,coef*(|f(a)|+|f(b)|),58112,7.479878,0.927026,252
noise_cavity,marching_cubes,129,358526,279285,778.981162,3,1e-12,279285,279285,1.388072e-1,false,false,0.031250000,true,21,717252,556,135157155,274823,4462,583,572,562,952990,false,sphere,false,2.6581,2,9.224106e-14,9.224106e-2,4.210229e-15,4.210229e-3,6.449935e-17,558692,0,21,10,0,778.981162,778.981162,778.981162,false,120402574,335.83,coef*(|f(a)|+|f(b)|),239084,4.441831,0.984834,604
