# experiment P-149 (R-149)
# hypothesis: P-146 measures the aggregate; this measures the mechanism. The AM-GM gap collapses toward zero exactly where one principal curvature vanishes, so the saving should be a function of the curvature ratio and nothing else. (C1) Binning surface cells by principal-curvature ratio, the anisotropic triangle saving is monotone in the ratio, with correlation above 0.7. (C2) Cells with ratio near 1 -- spherical caps -- show no saving, which is the control that says the effect is anisotropy rather than a general refinement improvement. SHARE: C1 decomposes P-146's C1 saving by feature class; the bin populations are reported so each saving has a denominator.
# falsified by: C1 by a non-monotone relationship, which would mean the saving comes from somewhere other than anisotropy. C2 by a saving on isotropic cells, same conclusion and more damning. VACUITY CONTROL: every curvature-ratio bin must be non-empty on at least one field, reported as counts, or the monotonicity is fitted through gaps.
# commit f3431c0 on amd-ryzen-9-5900x-12-core at 2026-08-30T14:19:25Z
feature_class,principal_curvature_ratio,cells,triangles_isotropic,triangles_anisotropic,saving,hausdorff_delta,saving_vs_curvature_ratio_correlation,c1_holds,c2_holds,am_gm_gap_measured,am_gm_gap_predicted,arms_identical,axes_pinned,axis_ratio,band_points,budget_ratio,c1_global_holds,c1_groups_holding,c1_groups_measurable,c2_global_holds,c2_umbilic_saving,cells_all_fields,correlation_bins,curvature_ratio_mean,curvature_ratio_reciprocal,elliptic_fraction,field,field_bound,grid_anisotropic,grid_isotropic,hausdorff_anisotropic_local,hausdorff_isotropic_local,in_correlation,pooled_correlation,probe_residual_max,probes,ratio_bin_hi,ratio_bin_lo,resolution,saving_vs_reciprocal_correlation,vertices_anisotropic,vertices_isotropic
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,19746,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,5.000000,2.000000,65,unmeasurable:bins=1<3,4758,4758
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,17805,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,50.000000,5.000000,65,unmeasurable:bins=1<3,4758,4758
flat_direction,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,3467,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,inf,50.000000,65,unmeasurable:bins=1<3,4758,4758
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=1<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,6482,1.000000,false,2,4,false,0.000000,5763,1,undefined,undefined,undefined,sphere,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,unmeasurable:bins=1<3,4758,4758
planar,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-0.400000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,14303,4,undefined,undefined,undefined,torus,Exact,31x35x31,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,0.400000,1008,1128
umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-0.400000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,30964,4,undefined,undefined,undefined,torus,Exact,31x35x31,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,1.250000,1.000000,33,0.400000,1008,1128
near_umbilic,1.756092,40,56,16,0.714286,0.026524022,-0.400000,false,unmeasurable:no_umbilic_bin,0.961634,0.961634,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,13647,4,1.726022,0.569446124,0.000000,torus,Exact,31x35x31,33x33x33,0.088324192,0.061800170,true,0.187131,7.001491e-5,40,2.000000,1.250000,33,0.400000,1008,1128
mild_anisotropy,3.956352,456,904,794,0.121681,-0.005090487,-0.400000,false,unmeasurable:no_umbilic_bin,0.802630,0.802630,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,19746,4,3.663289,0.252758084,0.491228,torus,Exact,31x35x31,33x33x33,0.087396226,0.092486713,true,0.187131,1.059585e-4,114,5.000000,2.000000,33,0.400000,1008,1128
strong_anisotropy,7.037132,592,1216,1138,0.064145,-0.016129218,-0.400000,false,unmeasurable:no_umbilic_bin,0.660126,0.660126,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,17805,4,8.821414,0.142103342,0.756757,torus,Exact,31x35x31,33x33x33,0.078971300,0.095100518,true,0.187131,1.908939e-4,119,50.000000,5.000000,33,0.400000,1008,1128
flat_direction,483.950909,40,80,68,0.150000,-0.042147944,-0.400000,false,unmeasurable:no_umbilic_bin,0.090726,0.090726,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,3467,4,1312.759366,0.002066325,0.800000,torus,Exact,31x35x31,33x33x33,0.046136813,0.088284757,true,0.187131,5.285123e-8,40,inf,50.000000,33,0.400000,1008,1128
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-0.400000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.129032,1524,0.935943,false,2,4,false,undefined,5763,4,undefined,undefined,undefined,torus,Exact,31x35x31,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,0.400000,1008,1128
planar,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-1.000000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,14303,4,undefined,undefined,undefined,torus,Exact,63x69x63,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,1.000000,4544,4208
umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-1.000000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,30964,4,undefined,undefined,undefined,torus,Exact,63x69x63,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,1.250000,1.000000,65,1.000000,4544,4208
near_umbilic,1.950494,16,24,0,1.000000,0.011252395,-1.000000,false,unmeasurable:no_umbilic_bin,0.946860,0.946690,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,13647,4,1.949404,0.513264484,0.000000,torus,Exact,63x69x63,65x65x65,0.039993710,0.028741316,true,-0.060731,8.429481e-7,16,2.000000,1.250000,65,1.000000,4544,4208
mild_anisotropy,4.029308,2016,4056,4142,-0.021203,-0.002086427,-1.000000,false,unmeasurable:no_umbilic_bin,0.798246,0.798246,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,19746,4,3.743424,0.248181569,0.480159,torus,Exact,63x69x63,65x65x65,0.045102234,0.047188661,true,-0.060731,7.365768e-6,126,5.000000,2.000000,65,1.000000,4544,4208
strong_anisotropy,7.025780,2064,4112,4642,-0.128891,-0.002757116,-1.000000,false,unmeasurable:no_umbilic_bin,0.661750,0.660526,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,17805,4,10.180239,0.143036776,0.740310,torus,Exact,63x69x63,65x65x65,0.042280078,0.045037194,true,-0.060731,4.788507e-6,122,50.000000,5.000000,65,1.000000,4544,4208
flat_direction,92.976514,112,224,304,-0.357143,-0.017091981,-1.000000,false,unmeasurable:no_umbilic_bin,0.205209,0.205209,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,3467,4,204.447927,0.010755404,0.285714,torus,Exact,63x69x63,65x65x65,0.027047978,0.044139959,true,-0.060731,6.742994e-9,112,inf,50.000000,65,1.000000,4544,4208
unclassified,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,-1.000000,false,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,1.095238,6032,0.997218,false,2,4,false,undefined,5763,4,undefined,undefined,undefined,torus,Exact,63x69x63,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,1.000000,4544,4208
planar,1.000000,1176,1176,1176,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,14303,2,1.000000,1.000000000,0.000000,box_exact,Exact,33x33x33,33x33x33,0.088388348,0.088388348,false,0.187131,0.000000e0,118,undefined,undefined,33,unmeasurable:bins=2<3,1350,1350
umbilic,1.000000,8,8,8,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,30964,2,1.000000,1.000000000,1.000000,box_exact,Exact,33x33x33,33x33x33,0.167100131,0.167100131,true,0.187131,6.944444e-3,8,1.250000,1.000000,33,unmeasurable:bins=2<3,1350,1350
near_umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,13647,2,undefined,undefined,undefined,box_exact,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,2.000000,1.250000,33,unmeasurable:bins=2<3,1350,1350
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,19746,2,undefined,undefined,undefined,box_exact,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,5.000000,2.000000,33,unmeasurable:bins=2<3,1350,1350
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,17805,2,undefined,undefined,undefined,box_exact,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,50.000000,5.000000,33,unmeasurable:bins=2<3,1350,1350
flat_direction,1000000.000000,168,336,336,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,0.000000,0.002000,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,3467,2,1000000.000000,0.000000000,0.000000,box_exact,Exact,33x33x33,33x33x33,0.139754249,0.139754249,true,0.187131,0.000000e0,84,inf,50.000000,33,unmeasurable:bins=2<3,1350,1350
unclassified,undefined,588,1176,1176,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4450,1.000000,false,2,4,false,0.000000,5763,2,undefined,undefined,0.000000,box_exact,Exact,33x33x33,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,undefined,undefined,33,unmeasurable:bins=2<3,1350,1350
planar,1.000000,5400,5400,5400,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,14303,2,1.000000,1.000000000,0.000000,box_exact,Exact,65x65x65,65x65x65,0.044194174,0.044194174,false,-0.060731,0.000000e0,126,undefined,undefined,65,unmeasurable:bins=2<3,5766,5766
umbilic,1.000000,8,8,8,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,30964,2,1.000000,1.000000000,1.000000,box_exact,Exact,65x65x65,65x65x65,0.083550065,0.083550065,true,-0.060731,3.472222e-3,8,1.250000,1.000000,65,unmeasurable:bins=2<3,5766,5766
near_umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,13647,2,undefined,undefined,undefined,box_exact,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,2.000000,1.250000,65,unmeasurable:bins=2<3,5766,5766
mild_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,19746,2,undefined,undefined,undefined,box_exact,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,5.000000,2.000000,65,unmeasurable:bins=2<3,5766,5766
strong_anisotropy,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,17805,2,undefined,undefined,undefined,box_exact,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,50.000000,5.000000,65,unmeasurable:bins=2<3,5766,5766
flat_direction,1000000.000000,360,720,720,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,0.000000,0.002000,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,3467,2,1000000.000000,0.000000000,0.000000,box_exact,Exact,65x65x65,65x65x65,0.069877124,0.069877124,true,-0.060731,0.000000e0,120,inf,50.000000,65,unmeasurable:bins=2<3,5766,5766
unclassified,undefined,2700,5400,5400,0.000000,0.000000000,unmeasurable:bins=2<3,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,18082,1.000000,false,2,4,false,0.000000,5763,2,undefined,undefined,0.000000,box_exact,Exact,65x65x65,65x65x65,0.000000000,0.000000000,false,-0.060731,0.000000e0,0,undefined,undefined,65,unmeasurable:bins=2<3,5766,5766
planar,1.000000,951,1176,1176,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,14303,5,1.000000,1.000000000,0.000000,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,false,0.187131,unmeasurable:bound=Underestimate,0,undefined,undefined,33,0.000000,1386,1386
umbilic,1.004329,170,299,299,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.999998,0.999998,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,30964,5,1.016090,0.995689209,0.858824,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,0.187131,unmeasurable:bound=Underestimate,0,1.250000,1.000000,33,0.000000,1386,1386
near_umbilic,1.519194,42,90,90,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.978532,0.978532,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,13647,5,1.523151,0.658243633,0.857143,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,0.187131,unmeasurable:bound=Underestimate,0,2.000000,1.250000,33,0.000000,1386,1386
mild_anisotropy,4.411481,12,12,12,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.862363,0.776258,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,19746,5,3.731220,0.327765769,0.000000,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,0.187131,unmeasurable:bound=Underestimate,0,5.000000,2.000000,33,0.000000,1386,1386
strong_anisotropy,8.112400,51,75,75,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.625132,0.625132,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,17805,5,12.771444,0.123268084,0.176471,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,0.187131,unmeasurable:bound=Underestimate,0,50.000000,5.000000,33,0.000000,1386,1386
flat_direction,1000000.000000,162,306,306,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.000000,0.002000,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,3467,5,889175.369184,0.000000000,0.000000,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,0.187131,unmeasurable:bound=Underestimate,0,inf,50.000000,33,0.000000,1386,1386
unclassified,undefined,405,810,810,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,4372,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,csg_difference,Underestimate,33x33x33,33x33x33,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,false,0.187131,unmeasurable:bound=Underestimate,0,undefined,undefined,33,0.000000,1386,1386
planar,1.000000,4584,5400,5400,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,14303,5,1.000000,1.000000000,0.000000,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,false,-0.060731,unmeasurable:bound=Underestimate,0,undefined,undefined,65,0.000000,6012,6012
umbilic,1.001197,803,1547,1547,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,1.000000,1.000000,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,30964,5,1.001236,0.998804044,0.966376,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,-0.060731,unmeasurable:bound=Underestimate,0,1.250000,1.000000,65,0.000000,6012,6012
near_umbilic,1.540682,69,99,99,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.977094,0.977094,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,13647,5,1.601993,0.649063173,0.739130,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,-0.060731,unmeasurable:bound=Underestimate,0,2.000000,1.250000,65,0.000000,6012,6012
mild_anisotropy,2.605509,102,198,198,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.895385,0.895385,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,19746,5,2.807798,0.383802113,0.617647,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,-0.060731,unmeasurable:bound=Underestimate,0,5.000000,2.000000,65,0.000000,6012,6012
strong_anisotropy,9.899854,99,148,148,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.577329,0.577329,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,17805,5,12.788711,0.101011592,0.393939,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,-0.060731,unmeasurable:bound=Underestimate,0,50.000000,5.000000,65,0.000000,6012,6012
flat_direction,1000000.000000,357,718,718,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,0.000000,0.002000,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,3467,5,875224.096677,0.000000000,0.025210,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,true,-0.060731,unmeasurable:bound=Underestimate,0,inf,50.000000,65,0.000000,6012,6012
unclassified,undefined,1957,3910,3910,0.000000,unmeasurable:bound=Underestimate,0.000000,unmeasurable:arms_identical,unmeasurable:arms_identical,undefined,undefined,true,0,1.000000,17440,1.000000,false,2,4,false,0.000000,5763,5,undefined,undefined,0.000000,csg_difference,Underestimate,65x65x65,65x65x65,unmeasurable:bound=Underestimate,unmeasurable:bound=Underestimate,false,-0.060731,unmeasurable:bound=Underestimate,0,undefined,undefined,65,0.000000,6012,6012
planar,1.000000,392,784,100,0.872449,0.114450985,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,1.000000,1.000000,false,0,14.692308,935,0.898211,false,2,4,false,undefined,14303,2,1.000000,1.000000000,0.000000,thin_plate,Exact,13x191x13,33x33x33,0.208915852,0.094464867,false,0.187131,3.333333e-2,98,undefined,undefined,33,unmeasurable:bins=2<3,96,510
umbilic,undefined,0,0,0,undefined:no_isotropic_triangles,undefined:empty_bin,unmeasurable:bins=2<3,unmeasurable:bins=2<3,unmeasurable:no_umbilic_bin,undefined,undefined,false,0,14.692308,935,0.898211,false,2,4,false,undefined,30964,2,undefined,undefined,undefined,thin_plate,Exact,13x191x13,33x33x33,0.000000000,0.000000000,false,0.187131,0.000000e0,0,1.250000,1.000000,33,unmeasurable:bins=2<3,96,510
