# experiment P-57 (R-055)
# hypothesis: Every element of the 48-element octahedral group is a signed coordinate permutation and therefore exact in f64, so mesh(g*f) and g*mesh(f) are comparable bit-for-bit. Compared as SORTED VERTEX-POSITION MULTISETS, not as index buffers: table.rs picks safe_apex by lowest edge index, which is not invariant under axis relabelling, so a triangle-level relation is known-false in advance. (C1) the four primal extractors (marching_cubes, marching_cubes+decider, marching_tetrahedra, subgrid_marching_tetrahedra) are bit-exactly equivariant on ALL 48 elements, on all eight reference fields, because a primal vertex is a/(a-b) on one grid edge -- two values, no accumulation. (C2) the three dual extractors (surface_nets, dual_contouring, manifold_dual_contouring) are bit-exact on STRICTLY FEWER than 48, because M-177 established that a sum of position components is not bit-exactly equivariant by ordering alone; the count and identity of failing elements is the new number. (C3) a triangle-level relation fails where the vertex-level one holds, on at least one extractor, and the count of triangle-level mismatches is reported so the dossier's "2,688 false positives" warning is quantified rather than repeated.
# falsified by: A primal failure -- which is an axis-dependent bug and the thing this exists to catch; or all 48 holding on the dual path, which would contradict M-177 and be the more interesting result; or C3 finding zero triangle-level mismatches, which would mean safe_apex is invariant after all.
# commit 0d81ae6 (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-08-24T04:07:39Z
field,extractor,family,samples_per_axis,vertices,elements_tested,elements_vertex_exact,elements_triangle_exact,first_failing_element,first_failing_det,worst_component_ulp,fixture_can_fail,boundary_sign_constant,cell_size,cut_edges,det_minus_vertex_exact,det_plus_vertex_exact,elements_triangle_exact_raw,elements_vertex_exact_raw,elements_vertex_exact_triangle_fail,grid_symmetric,grid_zero_coordinates,order_sensitive_edges,origin,pure_permutation_exact,pure_sign_flip_exact,triangle_failing_mask,triangles,vertex_count_mismatches,vertex_failing_labels,vertex_failing_mask,wall_ms,worst_differing_vertices
sphere,surface_nets,dual,25,536,48,6,3,perm=012;sign=-++,-1,4,true,true,0.187500000,534,3,3,3,6,3,true,1,24,-2.250000000,6,1,fffefefffffe,1068,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,19,176
sphere,dual_contouring,dual,25,536,48,2,1,perm=012;sign=-++,-1,9212300193132559972,true,true,0.187500000,534,1,1,1,2,1,true,1,24,-2.250000000,2,1,fffffffffffe,1068,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,47,160
sphere,manifold_dual_contouring,dual,25,536,48,2,1,perm=012;sign=-++,-1,9212300193132559972,true,true,0.187500000,534,1,1,1,2,1,true,1,24,-2.250000000,2,1,fffffffffffe,1068,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,51,160
sphere,subgrid_marching_tetrahedra,primal,25,1586,48,6,3,perm=012;sign=-++,-1,9214331665405915036,true,true,0.187500000,534,3,3,3,6,3,true,1,24,-2.250000000,6,1,fffefefffffe,3168,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,2091,1586
torus,marching_cubes,primal,33,1128,48,6,1,perm=012;sign=-++,-1,1,true,true,0.125000000,1128,3,3,1,6,5,true,1,152,-2.000000000,6,1,fffffffffffe,2256,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,58,152
torus,marching_cubes+decider,primal,33,1128,48,6,1,perm=012;sign=-++,-1,1,true,true,0.125000000,1128,3,3,1,6,5,true,1,152,-2.000000000,6,1,fffffffffffe,2256,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,59,152
torus,marching_tetrahedra,primal,33,3424,48,6,3,perm=012;sign=-++,-1,9217047455050242256,true,true,0.125000000,1128,3,3,3,6,3,true,1,152,-2.000000000,6,1,fffefefffffe,6848,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,182,2004
torus,surface_nets,dual,33,1128,48,1,1,perm=012;sign=-++,-1,9214927787553456128,true,true,0.125000000,1128,0,1,1,1,0,true,1,152,-2.000000000,1,1,fffffffffffe,2256,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/+++|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffffffe,51,744
torus,dual_contouring,dual,33,1128,48,2,1,perm=012;sign=-++,-1,9216784846773488044,true,true,0.125000000,1128,1,1,1,2,1,true,1,152,-2.000000000,2,1,fffffffffffe,2256,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,105,600
torus,manifold_dual_contouring,dual,33,1128,48,2,1,perm=012;sign=-++,-1,9216784846773488044,true,true,0.125000000,1128,1,1,1,2,1,true,1,152,-2.000000000,2,1,fffffffffffe,2256,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/+++|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/+++|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fffffffefffe,111,600
torus,subgrid_marching_tetrahedra,primal,33,3464,48,6,3,perm=012;sign=-++,-1,9217058651649122962,true,true,0.125000000,1128,3,3,3,6,3,true,1,152,-2.000000000,6,1,fffefefffffe,6928,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,6642,3464
torus,marching_cubes,primal,25,456,48,6,1,perm=012;sign=-++,-1,1,true,true,0.187500000,456,3,3,1,6,5,true,1,32,-2.250000000,6,1,fffffffffffe,912,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,23,32
torus,marching_cubes+decider,primal,25,456,48,6,1,perm=012;sign=-++,-1,1,true,true,0.187500000,456,3,3,1,6,5,true,1,32,-2.250000000,6,1,fffffffffffe,912,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,23,32
torus,marching_tetrahedra,primal,25,1452,48,6,3,perm=012;sign=-++,-1,9217056838357857152,true,true,0.187500000,456,3,3,3,6,3,true,1,32,-2.250000000,6,1,fffefefffffe,2904,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,63,868
torus,surface_nets,dual,25,456,48,6,3,perm=012;sign=-++,-1,4,true,true,0.187500000,456,3,3,3,6,3,true,1,32,-2.250000000,6,1,fffefefffffe,912,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,19,272
torus,dual_contouring,dual,25,456,48,4,2,perm=012;sign=-++,-1,9214996242126565750,true,true,0.187500000,456,2,2,2,4,2,true,1,32,-2.250000000,4,1,fffffefffffe,912,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefffefefffe,41,224
torus,manifold_dual_contouring,dual,25,456,48,4,2,perm=012;sign=-++,-1,9214996242126565750,true,true,0.187500000,456,2,2,2,4,2,true,1,32,-2.250000000,4,1,fffffefffffe,912,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/+++|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/+++|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefffefefffe,44,224
torus,subgrid_marching_tetrahedra,primal,25,1452,48,6,3,perm=012;sign=-++,-1,9217066450797342902,true,true,0.187500000,456,3,3,3,6,3,true,1,32,-2.250000000,6,1,fffefefffffe,2904,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,2778,1452
box_exact,marching_cubes,primal,33,1350,48,48,2,none,+0,0,false,true,0.125000000,1350,24,24,1,6,46,true,1,0,-2.000000000,6,8,7ffffffffffe,2696,0,,000000000000,63,0
box_exact,marching_cubes+decider,primal,33,1350,48,48,2,none,+0,0,false,true,0.125000000,1350,24,24,1,6,46,true,1,0,-2.000000000,6,8,7ffffffffffe,2696,0,,000000000000,65,0
box_exact,marching_tetrahedra,primal,33,5222,48,12,6,perm=012;sign=-++,-1,9214364837600034816,false,true,0.125000000,1350,6,6,3,6,6,true,1,0,-2.000000000,6,2,7ffefe7f7ffe,10440,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,7e7e7e7e7e7e,280,346
box_exact,surface_nets,dual,33,1352,48,6,3,perm=012;sign=-++,-1,2,false,true,0.125000000,1350,3,3,3,6,3,true,1,0,-2.000000000,6,1,fffefefffffe,2700,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,57,8
box_exact,dual_contouring,dual,33,1352,48,48,6,none,+0,0,false,true,0.125000000,1350,24,24,6,48,42,true,1,0,-2.000000000,6,8,7ffefe7f7ffe,2700,0,,000000000000,91,0
box_exact,manifold_dual_contouring,dual,33,1352,48,48,6,none,+0,0,false,true,0.125000000,1350,24,24,6,48,42,true,1,0,-2.000000000,6,8,7ffefe7f7ffe,2700,0,,000000000000,97,0
box_exact,subgrid_marching_tetrahedra,primal,33,1442,48,12,6,perm=012;sign=-++,-1,9214364837600034816,false,true,0.125000000,1350,6,6,3,6,6,true,1,0,-2.000000000,6,2,7ffefe7f7ffe,2880,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--,7e7e7e7e7e7e,7783,62
box_exact,marching_cubes,primal,25,726,48,48,2,none,+0,0,false,true,0.187500000,726,24,24,1,6,46,true,1,0,-2.250000000,6,8,7ffffffffffe,1448,0,,000000000000,30,0
box_exact,marching_cubes+decider,primal,25,726,48,48,2,none,+0,0,false,true,0.187500000,726,24,24,1,6,46,true,1,0,-2.250000000,6,8,7ffffffffffe,1448,0,,000000000000,30,0
box_exact,marching_tetrahedra,primal,25,2774,48,6,3,perm=012;sign=-++,-1,9214364837600034816,false,true,0.187500000,726,3,3,3,6,3,true,1,0,-2.250000000,6,1,fffefefffffe,5544,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,111,1586
box_exact,surface_nets,dual,25,728,48,6,3,perm=012;sign=-++,-1,2,false,true,0.187500000,726,3,3,3,6,3,true,1,0,-2.250000000,6,1,fffefefffffe,1452,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,26,8
box_exact,dual_contouring,dual,25,728,48,48,6,none,+0,0,false,true,0.187500000,726,24,24,6,48,42,true,1,0,-2.250000000,6,8,7ffefe7f7ffe,1452,0,,000000000000,46,0
box_exact,manifold_dual_contouring,dual,25,728,48,48,6,none,+0,0,false,true,0.187500000,726,24,24,6,48,42,true,1,0,-2.250000000,6,8,7ffefe7f7ffe,1452,0,,000000000000,50,0
box_exact,subgrid_marching_tetrahedra,primal,25,2774,48,6,3,perm=012;sign=-++,-1,9214364837600034816,false,true,0.187500000,726,3,3,3,6,3,true,1,0,-2.250000000,6,1,fffefefffffe,5544,0,012/-++|012/+-+|012/--+|012/++-|012/-+-|012/+--|012/---|021/-++|021/+-+|021/--+|021/++-|021/-+-|021/+--|021/---|102/-++|102/+-+|102/--+|102/++-|102/-+-|102/+--|102/---|120/-++|120/+-+|120/--+|120/++-|120/-+-|120/+--|120/---|201/-++|201/+-+|201/--+|201/++-|201/-+-|201/+--|201/---|210/-++|210/+-+|210/--+|210/++-|210/-+-|210/+--|210/---,fefefefefefe,3400,2774
