# experiment P-114 (R-114)
# hypothesis: ONE BIT PER 64 CELLS GIVES A SECOND LEVEL AT ONE SIXTY-FOURTH THE SIZE, AND TWO LEVELS SKIP 4,096 CELLS PER TEST. What this registration must state: VDB's node bitmask plus popcount child offset is the same object one level up, it is already in the corpus (10.1145/2487228.2487235), and dual.rs:417 already cites VDB as the source of the flat bitmap's mechanism -- so this row is a RE-MEASUREMENT OF A PUBLISHED STRUCTURE at this crate's granularity rather than a new structure. (C1) At least 1.5x on the active-cell traversal of the SPARSEST FIELD AS MEASURED, with that field named in the CSV rather than assumed. (C2) Two levels skip 4,096 cells per test, reported as cells skipped per word tested. (C3) Identical mesh. SHARE: the active-cell traversal stage, which M-337 measured at 5.5x for the flat bitmap on a surface-free field -- so the stage is known to be large enough to matter and the question is only whether a second level finds anything the first did not. The sparsest field is derived from the run's own active_fraction column, never assumed: the research doc names thin_plate and this harness does not inherit that.
# falsified by: C1 by under 1.5x on the sparsest field as measured, where it must win if it wins anywhere. C2 by cells_skipped_per_test falling short of 4,096 at two levels. C3 by any mesh difference. VACUITY CONTROL: words_tested_hier must be STRICTLY LESS than words_tested_flat on at least one row, and cells_skipped_per_test must be non-zero -- a hierarchy that skips nothing is not being tested.
# commit a5eefa5 on amd-ryzen-9-5900x-12-core at 2026-08-29T00:41:06Z
field,resolution,active_fraction,levels,words_tested_flat,words_tested_hier,cells_skipped_per_test,ns_per_cell_flat,ns_per_cell_hier,ratio,mesh_identical,sparsest_field,c1_holds,c2_holds,c3_holds,active_cells,breakeven_traversals,c1_holds_cycles,c1_holds_instructions,cells,cells_per_top_level_zero_bit,cells_skipped_total,clock_ratio_hier_over_flat,cycles_per_cell_build_summary,cycles_per_cell_flat,cycles_per_cell_hier,cycles_per_cell_shipped_extraction,extraction_speedup_ceiling,ghz,ghz_hier,inner_reps,instructions_per_cell_build_summary,instructions_per_cell_flat,instructions_per_cell_hier,level_0_bytes,level_0_words,level_0_words_nonzero,level_1_size_ratio,level_1_words,level_1_words_nonzero,level_2_size_ratio,level_2_words,ns_per_cell_build_level_0,ns_per_cell_build_summary,ratio_cycles,ratio_instructions,reps,sparsest_field_active_fraction,sparsest_field_ratio,sparsest_field_ratio_instructions,summary_bytes,summary_overhead_fraction,summary_words_tested,top_level_fanout_verified,traversal_share_of_extraction,word_ratio,zero_top_level_bits
box_exact,129,0.01135635,1,32768,8704,3072.000,0.012560,0.010465,1.2002,true,thin_plate,true,false,true,23816,2.889,true,true,2097152,64.0,1572864,1.0017,0.025238,0.052477,0.043801,57.5524,1.00015,4.1780,4.1853,644,0.107621,0.246031,0.186401,262144,32768,8192,64.0000,512,128,64.0000,8,0.095607,0.006052,1.1981,1.3199,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000912,3.7647,24576
box_exact,129,0.01135635,2,32768,8328,11565.176,0.012560,0.010812,1.1617,true,thin_plate,true,true,true,23816,3.463,true,true,2097152,4096.0,1572864,1.0023,0.025238,0.052477,0.045279,57.5524,1.00013,4.1780,4.1877,644,0.107621,0.246031,0.188525,262144,32768,8192,64.0000,512,128,64.0000,8,0.095607,0.006052,1.1590,1.3050,5,0.00390625,2.5678,3.3182,4160,0.015869,136,true,0.000912,3.9347,384
csg_difference,65,0.02294159,1,4096,1088,3072.000,0.019729,0.018201,1.0840,true,thin_plate,true,false,true,6014,5.351,true,true,262144,64.0,196608,0.9987,0.034259,0.082533,0.076042,99.3946,1.00006,4.1832,4.1780,2999,0.108754,0.373590,0.314149,32768,4096,1024,64.0000,64,32,64.0000,1,0.107117,0.008182,1.0854,1.1892,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000830,3.7647,3072
csg_difference,65,0.02294159,2,4096,1057,5957.818,0.019729,0.017125,1.1521,true,thin_plate,true,true,true,6014,3.141,true,true,262144,4096.0,196608,0.9994,0.034259,0.082533,0.071594,99.3946,1.00011,4.1832,4.1808,2999,0.108754,0.373590,0.317182,32768,4096,1024,64.0000,64,32,64.0000,1,0.107117,0.008182,1.1528,1.1778,5,0.00781250,1.6123,2.1285,520,0.015869,33,true,0.000830,3.8751,32
csg_difference,129,0.01188278,1,32768,8115,3145.625,0.012900,0.010808,1.1935,true,thin_plate,true,false,true,24920,2.956,true,true,2097152,64.0,1610560,1.0002,0.025880,0.053986,0.045241,71.9299,1.00012,4.1851,4.1858,640,0.105655,0.250980,0.187979,262144,32768,7603,64.0000,512,128,64.0000,8,0.095640,0.006182,1.1933,1.3351,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000751,4.0380,25165
csg_difference,129,0.01188278,2,32768,7739,11842.353,0.012900,0.010959,1.1770,true,thin_plate,true,true,true,24920,3.186,true,true,2097152,4096.0,1610560,1.0008,0.025880,0.053986,0.045903,71.9299,1.00011,4.1851,4.1885,640,0.105655,0.250980,0.189822,262144,32768,7603,64.0000,512,128,64.0000,8,0.095640,0.006182,1.1761,1.3222,5,0.00390625,2.5678,3.3182,4160,0.015869,136,true,0.000751,4.2341,384
thin_plate,65,0.00781250,1,4096,128,4032.000,0.008747,0.004912,1.7808,true,thin_plate,true,false,true,2048,2.187,true,true,262144,64.0,258048,0.9980,0.035119,0.036622,0.020523,46.5510,1.00035,4.1870,4.1785,8000,0.083119,0.196183,0.092797,32768,4096,64,64.0000,64,32,64.0000,1,0.106964,0.008386,1.7844,2.1141,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000787,32.0000,4032
thin_plate,65,0.00781250,2,4096,97,7819.636,0.008747,0.005425,1.6123,true,thin_plate,true,true,true,2048,2.525,true,true,262144,4096.0,258048,1.0003,0.035119,0.036622,0.022720,46.5510,1.00030,4.1870,4.1881,8000,0.083119,0.196183,0.092167,32768,4096,64,64.0000,64,32,64.0000,1,0.106964,0.008386,1.6118,2.1285,5,0.00781250,1.6123,2.1285,520,0.015869,33,true,0.000787,42.2268,32
thin_plate,129,0.00390625,1,32768,768,4064.000,0.006250,0.002720,2.2976,true,thin_plate,true,false,true,8192,2.218,true,true,2097152,64.0,2080768,1.0009,0.032750,0.026149,0.011391,40.9027,1.00036,4.1838,4.1876,1505,0.081120,0.152727,0.047687,262144,32768,256,64.0000,512,128,64.0000,8,0.095692,0.007830,2.2955,3.2027,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000639,42.6667,32512
thin_plate,129,0.00390625,2,32768,392,15299.765,0.006250,0.002434,2.5678,true,thin_plate,true,true,true,8192,2.052,true,true,2097152,4096.0,2080768,1.0014,0.032750,0.026149,0.010198,40.9027,1.00039,4.1838,4.1897,1505,0.081120,0.152727,0.046026,262144,32768,256,64.0000,512,128,64.0000,8,0.095692,0.007830,2.5642,3.3182,5,0.00390625,2.5678,3.3182,4160,0.015869,136,true,0.000639,83.5918,384
gyroid,65,0.08175659,1,4096,2340,1820.000,0.074324,0.079814,0.9312,true,thin_plate,true,false,true,21432,inf,true,true,262144,64.0,116480,1.0012,0.051651,0.310569,0.333897,620.1719,0.99996,4.1786,4.1834,682,0.142918,1.034886,1.033032,32768,4096,2276,64.0000,64,56,64.0000,1,0.106926,0.012341,0.9301,1.0018,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000501,1.7504,1820
gyroid,65,0.08175659,2,4096,2333,2043.509,0.074324,0.075158,0.9889,true,thin_plate,true,false,true,21432,inf,true,true,262144,4096.0,116480,0.9976,0.051651,0.310569,0.313316,620.1719,0.99999,4.1786,4.1688,682,0.142918,1.034886,1.042123,32768,4096,2276,64.0000,64,56,64.0000,1,0.106926,0.012341,0.9912,0.9931,5,0.00781250,1.6123,2.1285,520,0.015869,57,true,0.000501,1.7557,8
gyroid,129,0.04128456,1,32768,17491,1973.625,0.054440,0.060165,0.9049,true,thin_plate,true,false,true,86580,inf,true,true,2097152,64.0,1010496,1.0005,0.054017,0.227759,0.251838,384.4869,0.99994,4.1837,4.1858,163,0.137989,0.587814,0.578849,262144,32768,16979,64.0000,512,398,64.0000,8,0.095645,0.012911,0.9044,1.0155,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000592,1.8734,15789
gyroid,129,0.04128456,2,32768,17385,2488.906,0.054440,0.059908,0.9087,true,thin_plate,true,false,true,86580,inf,true,true,2097152,4096.0,1010496,1.0003,0.054017,0.227759,0.250715,384.4869,0.99994,4.1837,4.1850,163,0.137989,0.587814,0.586973,262144,32768,16979,64.0000,512,398,64.0000,8,0.095645,0.012911,0.9084,1.0014,5,0.00390625,2.5678,3.3182,4160,0.015869,406,true,0.000592,1.8848,114
fbm_terrain,65,0.03209305,1,4096,647,3513.000,0.031037,0.025693,1.2080,true,thin_plate,true,false,true,8413,1.379,true,true,262144,64.0,224832,1.0006,0.030864,0.129909,0.107604,1088.4135,1.00002,4.1857,4.1881,2117,0.097954,0.469209,0.389948,32768,4096,583,64.0000,64,64,64.0000,1,0.107002,0.007371,1.2073,1.2033,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000119,6.3308,3513
fbm_terrain,65,0.03209305,2,4096,648,3458.954,0.031037,0.025645,1.2102,true,thin_plate,true,false,true,8413,1.367,true,true,262144,0.0,224832,1.0005,0.030864,0.129909,0.107400,1088.4135,1.00002,4.1857,4.1879,2117,0.097954,0.469209,0.393007,32768,4096,583,64.0000,64,64,64.0000,1,0.107002,0.007371,1.2096,1.1939,5,0.00781250,1.6123,2.1285,520,0.015869,65,false,0.000119,6.3210,0
fbm_terrain,129,0.01646996,1,32768,4044,3654.500,0.019785,0.017037,1.1613,true,thin_plate,true,false,true,34540,2.390,true,true,2097152,64.0,1871104,1.0006,0.027364,0.082765,0.071316,941.0478,1.00001,4.1833,4.1859,405,0.092539,0.295615,0.209503,262144,32768,3532,64.0000,512,256,64.0000,8,0.095721,0.006567,1.1605,1.4110,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000088,8.1029,29236
fbm_terrain,129,0.01646996,2,32768,3796,7087.515,0.019785,0.017241,1.1475,true,thin_plate,true,true,true,34540,2.582,true,true,2097152,4096.0,1871104,0.9999,0.027364,0.082765,0.072119,941.0478,1.00001,4.1833,4.1830,405,0.092539,0.295615,0.210267,262144,32768,3532,64.0000,512,256,64.0000,8,0.095721,0.006567,1.1476,1.4059,5,0.00390625,2.5678,3.3182,4160,0.015869,264,true,0.000088,8.6322,256
noise_cavity,65,0.10824203,1,4096,1948,2212.000,0.094572,0.096169,0.9834,true,thin_plate,true,false,true,28375,inf,true,true,262144,64.0,141568,0.9994,0.037632,0.395882,0.402337,883.0087,0.99999,4.1860,4.1836,750,0.132206,1.321740,1.301850,32768,4096,1884,64.0000,64,48,64.0000,1,0.107082,0.008986,0.9840,1.0153,5,0.00781250,1.7808,2.1141,520,0.015869,64,true,0.000448,2.1027,2212
noise_cavity,65,0.10824203,2,4096,1933,2889.143,0.094572,0.095168,0.9937,true,thin_plate,true,false,true,28375,inf,true,true,262144,4096.0,141568,0.9996,0.037632,0.395882,0.398218,883.0087,1.00000,4.1860,4.1844,750,0.132206,1.321740,1.309018,32768,4096,1884,64.0000,64,48,64.0000,1,0.107082,0.008986,0.9941,1.0097,5,0.00781250,1.6123,2.1285,520,0.015869,49,true,0.000448,2.1190,16
noise_cavity,129,0.05668879,1,32768,15286,2249.250,0.067964,0.071625,0.9489,true,thin_plate,true,false,true,118885,inf,true,true,2097152,64.0,1151616,1.0035,0.038746,0.283092,0.299387,551.1431,0.99997,4.1653,4.1799,130,0.130392,0.754106,0.732436,262144,32768,14774,64.0000,512,336,64.0000,8,0.095907,0.009265,0.9456,1.0296,5,0.00390625,2.2976,3.2027,4160,0.015869,512,true,0.000514,2.1437,17994
noise_cavity,129,0.05668879,2,32768,15118,3347.721,0.067964,0.074382,0.9137,true,thin_plate,true,false,true,118885,inf,true,true,2097152,4096.0,1151616,1.0033,0.038746,0.283092,0.310861,551.1431,0.99995,4.1653,4.1793,130,0.130392,0.754106,0.739091,262144,32768,14774,64.0000,512,336,64.0000,8,0.095907,0.009265,0.9107,1.0203,5,0.00390625,2.5678,3.3182,4160,0.015869,344,true,0.000514,2.1675,176
